displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,70372.00,,,2021,Annual
Total Revenue ,TotalRevenue,70372.00,,,2021,Annual
Costof Revenue Total ,CostofRevenueTotal,54974.00,,,2021,Annual
Gross Profit ,GrossProfit,15398.00,,,2021,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,8576.40,,,2021,Annual
Depreciation/ Amortization ,Depreciation/Amortization,3034.10,,,2021,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,1411.00,,,2021,Annual
Total Operating Expense ,TotalOperatingExpense,67995.50,,,2021,Annual
Operating Income ,OperatingIncome,2376.50,,,2021,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,3080.00,,,2021,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-59,,,2021,Annual
Other Net ,OtherNet,-76.50,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,5321.00,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,931.90,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,4389.10,,,2021,Annual
Minority Interest ,MinorityInterest,0.00,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,4389.10,,,2021,Annual
Net Income ,NetIncome,4389.10,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,4389.10,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,4389.10,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,4389.10,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,30.21,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,145.30,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,45.00,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,146.91,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
