displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,38471.20,,,2024,Interim
Total Revenue ,TotalRevenue,38471.20,,,2024,Interim
Costof Revenue Total ,CostofRevenueTotal,27112.70,,,2024,Interim
Gross Profit ,GrossProfit,11358.50,,,2024,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,1570.90,,,2024,Interim
Depreciation/ Amortization ,Depreciation/Amortization,1298.30,,,2024,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,4566.40,,,2024,Interim
Total Operating Expense ,TotalOperatingExpense,34548.30,,,2024,Interim
Operating Income ,OperatingIncome,3922.90,,,2024,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,1.20,,,2024,Interim
Other Net ,OtherNet,1183.50,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,5107.60,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,1155.30,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,3952.30,,,2024,Interim
Minority Interest ,MinorityInterest,0.00,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,3952.30,,,2024,Interim
Net Income ,NetIncome,3952.30,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,3952.30,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,3952.30,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,3952.30,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,31.44,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,125.71,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,125.00,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,125.71,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
