displayName,key,value
Dividend Per Share - 5 year average,dividendperShare5YearAverage,91.00
Cash Flow per share  - trailing 12 month,cashFlowPerShareTrailing12Month,639.58
Free Cash Flow per share - trailing 12 month,freeCashFlowpersharetrailing12month,
Cash Flow per share - most recent fiscal year,cashflowPerShareMostRecentFiscalYear,639.58
Book value (tangible) per share - most recent quarter,bookValueTangibleperSharemostRecentQuarter,3032.67
Cash per share - most recent quarter,cashPerShareMostRecentQuarter,389.29
EPS including extraordinary items - trailing 12 month,ePSIncludingExtraOrdinaryItemsTrailing12Month,461.20
EPS including extraordinary items - most recent fiscal year,ePSIncludingExtraordinaryItemsMostRecentFiscalYear,461.20
EBITD per share - trailing 12 month,eBITDPerShareTrailing12Month,639.26
Revenue/share - trailing 12 month,rRevenuePerShareTrailing12onth,4863.65
EPS excluding extraordinary items - trailing 12 month,eEPSExcludingExtraordinaryIitemsTrailing12onth,461.20
EPS Basic excluding extraordinary items - most recent fiscal year,ePSBasicExcludingExtraordinaryItemsMostRecentFiscalYear,461.20
EPS Basic excluding extraordinary items - trailing 12 month,ePSBasicExcludingExtraordinaryItemsItrailing12Month,461.20
Book value per share - most recent fiscal year,bookValuePerShare MostRecentFiscalYear,3061.04
Book value per share - most recent quarter,bookValuePerShareMostRecentQuarter,3061.04
Dividend per share - most recent fiscal year,dividendPerShare MostRecentFiscalYear,135.00
Revenue/share - most recent fiscal year,revenuePerShareMostRecentFiscalYear,4863.62
EPS Normalized - most recent fiscal year,ePSNormalizedMostRecentFiscalYear,461.20
Book value (tangible) per share - most recent fiscal year,bookValuePerShareMostRecentFiscalYear,3032.67
Dividends per share - trailing 12 month,dividendsPerShareTrailing12Month,135.00
EPS excluding extraordinary items - most recent fiscal year,eEPSExcludingExtraordinaryItemsMmostRecentFiscal yea,461.20
Cash per share - most recent fiscal year,cashPerShareMostRecentFiscalYear,389.29
