tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003095,Nestle India,,2025-04-24,,2025-06-26,AGM
S0003095,Nestle India,(Revised),2024-04-25,,2024-07-08,AGM
S0003095,Nestle India,,2024-06-12,,2024-07-08,AGM
S0003095,Nestle India,,2023-11-08,,2023-12-11,POM
S0003095,Nestle India,,2023-06-05,,2023-07-07,POM
S0003095,Nestle India,,2023-02-16,,2023-04-12,AGM
S0003095,Nestle India,,2022-06-20,,2022-07-25,COM
S0003095,Nestle India,,2022-04-26,,2022-05-31,POM
S0003095,Nestle India,(Revised),2022-02-17,,2022-04-12,AGM
S0003095,Nestle India,,2021-02-16,,2021-05-07,AGM
