tickerId,companyName,remarks,boardMeetDate,purpose
S0003095,Nestle India,,2025-04-24,Audited Results & Final Dividend
S0003095,Nestle India,,2025-01-31,Quarterly Results & Interim Dividend
S0003095,Nestle India,,2024-10-17,Quarterly Results
S0003095,Nestle India,,2024-07-25,Quarterly Results
S0003095,Nestle India,,2024-04-25,Audited Results & Final Dividend
S0003095,Nestle India,,2024-02-07,Quarterly Results & Interim Dividend
S0003095,Nestle India,,2023-10-19,"Qtr Results,  Int.Dividend & Stock Split"
S0003095,Nestle India,,2023-07-27,Quarterly Results
S0003095,Nestle India,,2023-04-25,Quarterly Results
S0003095,Nestle India,,2023-04-12,Interim Dividend
S0003095,Nestle India,,2023-02-16,Audited Results & Final Dividend
S0003095,Nestle India,,2022-10-19,Quarterly Results & 2nd Interim Dividend
S0003095,Nestle India,,2022-07-28,Quarterly Results
S0003095,Nestle India,,2022-04-21,Quarterly Results
S0003095,Nestle India,,2022-04-11,Interim Dividend
S0003095,Nestle India,,2022-02-17,Audited Results & Final Dividend
S0003095,Nestle India,,2021-10-19,Quarterly Results & 2nd Interim Dividend
S0003095,Nestle India,,2021-07-28,Quarterly Results
S0003095,Nestle India,,2021-04-20,Quarterly Results & Interim Dividend
S0003095,Nestle India,,2021-02-16,Audited Results & Final Dividend
