tickerId,companyName,remarks,recordDate,xdDate,interimOrFinal,instrumentType,value,percentage,dateOfAnnouncement,bookClosureStartDate,bookClosureEndDate,sortDate
S0003095,Nestle India,Rs.10.0000 per share(1000%)Final Dividend,2025-07-04,,Final,5,10.0,1000,2025-04-24,,,2025-07-04
S0003095,Nestle India,Rs.14.2500 per share(1425%)Second Interim Dividend,2025-02-07,2025-02-07,Interim,5,14.25,1425,2025-01-24,,,2025-02-07
S0003095,Nestle India,Rs.8.5000 per share(850%)Final Dividend (RD & XD dates revised),2024-07-16,2024-07-16,Final,5,8.5,850,2024-04-25,,,2024-07-16
S0003095,Nestle India,Rs.2.7500 per share(275%)Interim Dividend (RD & XD revised),2024-07-16,2024-07-16,Interim,5,2.75,275,2024-07-08,,,2024-07-16
S0003095,Nestle India,Rs.7.0000 per share(700%)Third Interim Dividend,2024-02-15,2024-02-15,Interim,5,7.0,700,2024-01-23,,,2024-02-15
S0003095,Nestle India,Rs.140.0000 per share(1400%)Second Interim Dividend,2023-11-01,2023-11-01,Interim,5,140.0,1400,2023-10-03,,,2023-11-01
S0003095,Nestle India,Rs.75.0000 per share(750%)Final Dividend,2023-04-21,2023-04-21,Final,5,75.0,750,2023-02-16,,,2023-04-21
S0003095,Nestle India,Rs.27.0000 per share(270%)Interim Dividend,2023-04-21,2023-04-21,Interim,5,27.0,270,2023-04-12,,,2023-04-21
S0003095,Nestle India,Rs.120.0000 per share(1200%)Interim Dividend,2022-11-01,2022-10-31,Interim,5,120.0,1200,2022-10-10,,,2022-10-31
S0003095,Nestle India,Rs.65.0000 per share(650%)Final Dividend (Revised),2022-04-22,2022-04-21,Final,5,65.0,650,2022-02-17,,,2022-04-21
S0003095,Nestle India,Rs.25.0000 per share(250%)Interim Dividend (Revised),2022-04-22,2022-04-21,Interim,5,25.0,250,2022-03-31,,,2022-04-21
S0003095,Nestle India,Rs.110.0000 per share(1100%)Interim Dividend,2021-10-27,2021-10-26,Interim,5,110.0,1100,2021-10-07,,,2021-10-26
S0003095,Nestle India,Rs.65.0000 per share(650%)Final Dividend,,2021-04-29,Final,5,65.0,650,2021-02-16,2021-05-01,2021-05-07,2021-04-29
S0003095,Nestle India,Rs.25.0000 per share(250%)Interim Dividend,,2021-04-29,Interim,5,25.0,250,2021-04-06,2021-05-01,2021-05-07,2021-04-29
