displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,33.06,,,2020,Annual
Cash Equivalents ,CashEquivalents,1721.74,,,2020,Annual
Short Term Investments ,ShortTermInvestments,722.94,,,2020,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,2477.74,,,2020,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,197.97,,,2020,Annual
Total Receivables Net ,TotalReceivablesNet,231.91,,,2020,Annual
Total Inventory ,TotalInventory,1432.64,,,2020,Annual
Prepaid Expenses ,PrepaidExpenses,21.20,,,2020,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,21.59,,,2020,Annual
Total Current Assets ,TotalCurrentAssets,4185.08,,,2020,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,4636.85,,,2020,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-1818.86,,,2020,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,2817.99,,,2020,Annual
Long Term Investments ,LongTermInvestments,740.83,,,2020,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,46.55,,,2020,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,109.28,,,2020,Annual
Total Assets ,TotalAssets,7899.73,,,2020,Annual
Accounts Payable ,AccountsPayable,1516.58,,,2020,Annual
Accrued Expenses ,AccruedExpenses,235.18,,,2020,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2020,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,50.01,,,2020,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,690.78,,,2020,Annual
Total Current Liabilities ,TotalCurrentLiabilities,2492.55,,,2020,Annual
Long Term Debt ,LongTermDebt,31.72,,,2020,Annual
Capital Lease Obligations ,CapitalLeaseObligations,65.76,,,2020,Annual
Total Long Term Debt ,TotalLongTermDebt,97.48,,,2020,Annual
Total Debt ,TotalDebt,147.49,,,2020,Annual
Deferred Income Tax ,DeferredIncomeTax,0.00,,,2020,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,3290.36,,,2020,Annual
Total Liabilities ,TotalLiabilities,5880.39,,,2020,Annual
Common Stock Total ,CommonStockTotal,96.42,,,2020,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),1954.95,,,2020,Annual
Other Equity Total ,OtherEquityTotal,-32.03,,,2020,Annual
Total Equity ,TotalEquity,2019.34,,,2020,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,7899.73,,,2020,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,96.42,,,2020,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,20.94,,,2020,Annual
period Length ,periodLength,0.00,,,2020,Annual
