displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,758.87,,,2024,Interim
Short Term Investments ,ShortTermInvestments,86.25,,,2024,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,845.12,,,2024,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,300.46,,,2024,Interim
Total Receivables Net ,TotalReceivablesNet,311.47,,,2024,Interim
Total Inventory ,TotalInventory,2089.36,,,2024,Interim
Other Current Assets Total ,OtherCurrentAssetsTotal,248.77,,,2024,Interim
Total Current Assets ,TotalCurrentAssets,3494.72,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,5201.96,,,2024,Interim
Long Term Investments ,LongTermInvestments,423.89,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,8.01,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,1394.48,,,2024,Interim
Total Assets ,TotalAssets,10523.06,,,2024,Interim
Accounts Payable ,AccountsPayable,2237.89,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2024,Interim
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,63.13,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,1655.05,,,2024,Interim
Total Current Liabilities ,TotalCurrentLiabilities,3956.07,,,2024,Interim
Long Term Debt ,LongTermDebt,25.48,,,2024,Interim
Capital Lease Obligations ,CapitalLeaseObligations,255.92,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,281.40,,,2024,Interim
Total Debt ,TotalDebt,344.53,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,12.04,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,2932.66,,,2024,Interim
Total Liabilities ,TotalLiabilities,7182.17,,,2024,Interim
Common Stock Total ,CommonStockTotal,96.42,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),3244.47,,,2024,Interim
Total Equity ,TotalEquity,3340.89,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,10523.06,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,96.42,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,34.65,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
