displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,4316.12,,,2025,Annual
Depreciation/ Depletion ,Depreciation/Depletion,539.92,,,2025,Annual
Non- Cash Items ,Non-CashItems,-184.12,,,2025,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-1735.57,,,2025,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,2936.35,,,2025,Annual
Capital Expenditures ,CapitalExpenditures,-2008.64,,,2025,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,197.74,,,2025,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-1810.90,,,2025,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-33.72,,,2025,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-2458.60,,,2025,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,644.20,,,2025,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-1848.12,,,2025,Annual
Net Changein Cash ,NetChangeinCash,-722.67,,,2025,Annual
Cash Interest Paid ,CashInterestPaid,33.72,,,2025,Annual
Cash Taxes Paid ,CashTaxesPaid,1024.40,,,2025,Annual
period Length ,periodLength,12,,,2025,Annual
period Type ,periodType,Months,,,2025,Annual
