displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,14740.59,,,2021,Annual
Total Revenue ,TotalRevenue,14740.59,,,2021,Annual
Costof Revenue Total ,CostofRevenueTotal,7138.92,,,2021,Annual
Gross Profit ,GrossProfit,7601.67,,,2021,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,3880.21,,,2021,Annual
Research Development ,ResearchDevelopment,26.56,,,2021,Annual
Depreciation/ Amortization ,Depreciation/Amortization,391.02,,,2021,Annual
Unusual Expense( Income) ,UnusualExpense(Income),237.72,,,2021,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,131.05,,,2021,Annual
Total Operating Expense ,TotalOperatingExpense,11805.48,,,2021,Annual
Operating Income ,OperatingIncome,2935.11,,,2021,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,67.79,,,2021,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,3.97,,,2021,Annual
Other Net ,OtherNet,-149.55,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,2857.32,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,738.91,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,2118.41,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,2118.41,,,2021,Annual
Net Income ,NetIncome,2118.41,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,2118.41,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,2118.41,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,2118.41,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,96.42,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,21.97,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,20.00,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,23.77,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
