displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,4813.95,,,2025,Interim
Total Revenue ,TotalRevenue,4813.95,,,2025,Interim
Costof Revenue Total ,CostofRevenueTotal,2038.84,,,2025,Interim
Gross Profit ,GrossProfit,2775.11,,,2025,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,523.93,,,2025,Interim
Depreciation/ Amortization ,Depreciation/Amortization,112.71,,,2025,Interim
Unusual Expense( Income) ,UnusualExpense(Income),0.00,,,2025,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,1136.85,,,2025,Interim
Total Operating Expense ,TotalOperatingExpense,3812.33,,,2025,Interim
Operating Income ,OperatingIncome,1001.62,,,2025,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-31.68,,,2025,Interim
Other Net ,OtherNet,39.12,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,1009.06,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,262.46,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,746.60,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,746.60,,,2025,Interim
Net Income ,NetIncome,746.60,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,746.60,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,746.60,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,746.60,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,96.46,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,7.74,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,2.75,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,7.74,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
