displayName,key,value
Net Interest coverage - most recent fiscal year,netInterestCoverageMostRecentFiscalYear,81.60
"Current EV/Free Cash Flow, LTM",currentEVPerFreeCashFlowLTM,
Free Cash Flow - trailing 12 month,freeCashFlowtrailing12Month,-15308.90
Total debt/total equity - most recent quarter,totalDebtPerTotalEquityMostRecentQuarter,0.29
Free Cash Flow - most recent fiscal year,freeCashFlowMostRecentFiscalYear,-15308.90
LT debt/equity - most recent fiscal year,ltDebtPerEquityMostRecentFiscalYear),0.09
Quick ratio - most recent fiscal year,quickRatioMostRecentFiscalYear,0.18
Quick ratio - most recent quarter,quickRatioMostRecentQuarter,0.19
Payout ratio - trailing 12 month,payoutRatioTrailing12Month,8.27
Current ratio - most recent fiscal year,currentRatioMostRecentFiscalYear,0.80
"Current EV/Free Cash Flow, LFY",currentEVPerFreeCashFlowLFY,
LT debt/equity - most recent quarter,lTDebtPerEquityMostRecentQuarter,0.09
Total debt/total equity - most recent fiscal year,totalDebtPerTotalEquityMostRecentFiscalYear,0.29
Net Interest coverage - trailing 12 month,netInterestCoverageTrailing12Month,26.61
Current ratio - most recent quarter,currentRatioMostRecentQuarter,0.80
Payout ratio - most recent fiscal year,payoutRatioMostRecentFiscalYear,81.16
