displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,43161.20
Revenue - trailing 12 month,revenueTrailing12Month),202015.60
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,32075.90
EBITD - trailing 12 month,eBITDTrailing12Month,47737.10
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,32075.90
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,32.01
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,202015.60
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,30856.74
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,43161.20
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,41520.70
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,47859.40
