displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,3809942.00
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,23551800.00
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,45.58
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,28.24
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,59.36
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,45.58
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,28.24
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,3.94
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),3.54
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,23995200.00
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,3739540.00
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,87.27
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,60.88
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,1.78
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,1.78
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),87.27
Return on investment - 5 year average,returnOnInvestment5YearAverage,
