Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,3993.0,3072.0,921.0,23.0,21.0,36.0,105.0,802.0,26.0,591.0,6.13
2022-06-01,4046.0,3231.0,815.0,20.0,19.0,37.0,102.0,695.0,27.0,510.0,5.29
2022-09-01,4602.0,3598.0,1004.0,22.0,31.0,37.0,98.0,899.0,26.0,661.0,6.86
2022-12-01,4257.0,3284.0,973.0,23.0,30.0,45.0,99.0,859.0,27.0,628.0,6.51
2023-03-01,4831.0,3735.0,1095.0,23.0,34.0,37.0,102.0,990.0,26.0,737.0,7.64
2023-06-01,4659.0,3603.0,1056.0,23.0,24.0,33.0,107.0,939.0,26.0,698.0,7.24
2023-09-01,5037.0,3812.0,1225.0,24.0,140.0,31.0,111.0,1222.0,26.0,908.0,9.42
2023-12-01,4600.0,3505.0,1095.0,24.0,-77.0,23.0,109.0,886.0,26.0,656.0,6.8
2024-03-01,5268.0,3918.0,1350.0,26.0,37.0,26.0,110.0,1251.0,25.0,934.0,9.69
2024-06-01,4814.0,3700.0,1114.0,23.0,39.0,32.0,113.0,1009.0,26.0,747.0,7.74
2024-09-01,5104.0,3936.0,1168.0,23.0,298.0,32.0,122.0,1312.0,25.0,986.0,10.23
2024-12-01,4780.0,3677.0,1103.0,23.0,4.0,35.0,150.0,922.0,25.0,696.0,7.22
2025-03-01,5504.0,4115.0,1389.0,25.0,8.0,38.0,155.0,1205.0,26.0,885.0,9.18
