displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,4458.08,,,2022,Annual
Short Term Investments ,ShortTermInvestments,5826.14,,,2022,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,10284.22,,,2022,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,36320.36,,,2022,Annual
Total Receivables Net ,TotalReceivablesNet,36653.37,,,2022,Annual
Total Inventory ,TotalInventory,10139.29,,,2022,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,9525.32,,,2022,Annual
Total Current Assets ,TotalCurrentAssets,66602.20,,,2022,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,315368.96,,,2022,Annual
Intangibles Net ,IntangiblesNet,680.32,,,2022,Annual
Long Term Investments ,LongTermInvestments,11644.22,,,2022,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,559.81,,,2022,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,30090.39,,,2022,Annual
Total Assets ,TotalAssets,424945.90,,,2022,Annual
Accounts Payable ,AccountsPayable,10051.18,,,2022,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2022,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,36222.17,,,2022,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,38747.93,,,2022,Annual
Total Current Liabilities ,TotalCurrentLiabilities,85021.28,,,2022,Annual
Long Term Debt ,LongTermDebt,181871.19,,,2022,Annual
Capital Lease Obligations ,CapitalLeaseObligations,962.69,,,2022,Annual
Total Long Term Debt ,TotalLongTermDebt,182833.88,,,2022,Annual
Total Debt ,TotalDebt,219056.05,,,2022,Annual
Deferred Income Tax ,DeferredIncomeTax,10951.67,,,2022,Annual
Minority Interest ,MinorityInterest,3760.41,,,2022,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,7004.92,,,2022,Annual
Total Liabilities ,TotalLiabilities,289572.16,,,2022,Annual
Common Stock Total ,CommonStockTotal,9696.67,,,2022,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),125677.07,,,2022,Annual
Total Equity ,TotalEquity,135373.74,,,2022,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,424945.90,,,2022,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,969.67,,,2022,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,138.91,,,2022,Annual
period Length ,periodLength,0.00,,,2022,Annual
