displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,16998.93,,,2021,Annual
Depreciation/ Depletion ,Depreciation/Depletion,12450.31,,,2021,Annual
Non- Cash Items ,Non-CashItems,5237.47,,,2021,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-2242.65,,,2021,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,32444.06,,,2021,Annual
Capital Expenditures ,CapitalExpenditures,-23312.34,,,2021,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,2277.89,,,2021,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-21034.45,,,2021,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-13307.37,,,2021,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-5778.42,,,2021,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-2763.82,,,2021,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,10800.50,,,2021,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-11049.11,,,2021,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,0.00,,,2021,Annual
Net Changein Cash ,NetChangeinCash,360.50,,,2021,Annual
Cash Interest Paid ,CashInterestPaid,13307.37,,,2021,Annual
Cash Taxes Paid ,CashTaxesPaid,3705.66,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
