displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,101422.65,,,2020,Annual
Other Revenue Total ,OtherRevenueTotal,8041.39,,,2020,Annual
Total Revenue ,TotalRevenue,109464.04,,,2020,Annual
Costof Revenue Total ,CostofRevenueTotal,62954.03,,,2020,Annual
Fuel Expense ,FuelExpense,729.66,,,2020,Annual
Operations Maintenance ,OperationsMaintenance,3682.03,,,2020,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,8758.52,,,2020,Annual
Depreciation/ Amortization ,Depreciation/Amortization,11428.92,,,2020,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,-296.19,,,2020,Annual
Total Operating Expense ,TotalOperatingExpense,87256.97,,,2020,Annual
Operating Income ,OperatingIncome,22207.07,,,2020,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-8449.04,,,2020,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-51.60,,,2020,Annual
Other Net ,OtherNet,2671.08,,,2020,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,16377.51,,,2020,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,9347.54,,,2020,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,7029.97,,,2020,Annual
Minority Interest ,MinorityInterest,-301.75,,,2020,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,6728.22,,,2020,Annual
Net Income ,NetIncome,6728.22,,,2020,Annual
Total Adjustmentsto Net Income ,TotalAdjustmentstoNetIncome,48720.10,,,2020,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,11600.23,,,2020,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,11600.23,,,2020,Annual
Diluted Net Income ,DilutedNetIncome,11600.23,,,2020,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,989.46,,,2020,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,11.72,,,2020,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,3.15,,,2020,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,11.75,,,2020,Annual
period Length ,periodLength,12,,,2020,Annual
period Type ,periodType,Months,,,2020,Annual
