displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,12.84
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,5.10
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,4.03
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,4.46
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,5.10
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,4.03
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,5.16
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),5.83
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,3.93
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,13.59
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,5.47
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,0.37
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,0.37
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),13.59
Return on investment - 5 year average,returnOnInvestment5YearAverage,4.93
