Date,50 DMA
2024-06-06,269.54
2024-06-07,269.18
2024-06-10,268.79
2024-06-11,268.97
2024-06-12,269.23
2024-06-13,269.52
2024-06-14,269.75
2024-06-18,269.98
2024-06-19,270.05
2024-06-20,270.12
2024-06-21,270.1
2024-06-24,270.09
2024-06-25,269.97
2024-06-26,269.88
2024-06-27,269.79
2024-06-28,269.96
2024-07-01,270.08
2024-07-02,270.27
2024-07-03,270.44
2024-07-04,270.7
2024-07-05,271.39
2024-07-08,272.47
2024-07-09,273.45
2024-07-10,274.42
2024-07-11,275.61
2024-07-12,276.85
2024-07-15,278.64
2024-07-16,280.36
2024-07-18,282.38
2024-07-19,283.84
2024-07-22,285.29
2024-07-23,286.42
2024-07-24,287.72
2024-07-25,289.6
2024-07-26,291.25
2024-07-29,292.88
2024-07-30,294.41
2024-07-31,295.97
2024-08-01,297.77
2024-08-02,299.04
2024-08-05,299.48
2024-08-06,299.74
2024-08-07,300.89
2024-08-08,301.74
2024-08-09,302.95
2024-08-12,304.46
2024-08-13,305.69
2024-08-14,306.57
2024-08-16,307.47
2024-08-19,308.56
2024-08-20,309.41
2024-08-21,310.13
2024-08-22,310.68
2024-08-23,311.01
2024-08-26,311.67
2024-08-27,312.34
2024-08-28,312.95
2024-08-29,313.6
2024-08-30,314.27
2024-09-02,314.74
2024-09-03,315.03
2024-09-04,315.01
2024-09-05,314.87
2024-09-06,314.63
2024-09-09,314.01
2024-09-10,313.29
2024-09-11,312.19
2024-09-12,311.48
2024-09-13,310.69
2024-09-16,309.98
2024-09-17,309.38
2024-09-18,308.64
2024-09-19,307.72
2024-09-20,306.88
2024-09-23,306.43
2024-09-24,306.16
2024-09-25,305.86
2024-09-26,305.44
2024-09-27,305.12
2024-09-30,304.83
2024-10-01,304.32
2024-10-03,303.84
2024-10-04,303.5
2024-10-07,302.95
2024-10-08,302.58
2024-10-09,302.03
2024-10-10,301.51
2024-10-11,301.16
2024-10-14,300.58
2024-10-15,299.92
2024-10-16,299.35
2024-10-17,298.65
2024-10-18,298.05
2024-10-21,297.21
2024-10-22,296.17
2024-10-23,295.18
2024-10-24,294.16
2024-10-25,292.98
2024-10-28,291.82
2024-10-29,290.76
2024-10-30,289.62
2024-10-31,288.7
2024-11-01,288.04
2024-11-04,287.15
2024-11-05,286.37
2024-11-06,285.69
2024-11-07,284.89
2024-11-08,284.01
2024-11-11,282.95
2024-11-12,281.9
2024-11-13,280.75
2024-11-14,279.57
2024-11-18,278.44
2024-11-19,277.24
2024-11-21,275.87
2024-11-22,274.68
2024-11-25,274.02
2024-11-26,273.25
2024-11-27,272.51
2024-11-28,271.71
2024-11-29,271.12
2024-12-02,270.59
2024-12-03,270.26
2024-12-04,269.89
2024-12-05,269.55
2024-12-06,269.18
2024-12-09,268.78
2024-12-10,268.31
2024-12-11,267.85
2024-12-12,267.31
2024-12-13,266.8
2024-12-16,266.21
2024-12-17,265.47
2024-12-18,264.64
2024-12-19,263.74
2024-12-20,262.7
2024-12-23,261.84
2024-12-24,260.94
2024-12-26,260.13
2024-12-27,259.22
2024-12-30,258.18
2024-12-31,257.44
2025-01-01,256.63
2025-01-02,256.22
2025-01-03,256.32
2025-01-06,256.25
2025-01-07,256.53
2025-01-08,257.11
2025-01-09,257.35
2025-01-10,257.57
2025-01-13,257.5
2025-01-14,257.61
2025-01-15,257.63
2025-01-16,257.85
2025-01-17,258.19
2025-01-20,258.63
2025-01-21,258.91
2025-01-22,259.11
2025-01-23,259.27
2025-01-24,259.16
2025-01-27,258.83
2025-01-28,258.43
2025-01-29,258.16
2025-01-30,258.1
2025-01-31,258.28
2025-02-01,258.25
2025-02-03,257.89
2025-02-04,257.74
2025-02-05,257.89
2025-02-06,257.82
2025-02-07,257.47
2025-02-10,256.88
2025-02-11,256.18
2025-02-12,255.44
2025-02-13,254.64
2025-02-14,253.69
2025-02-17,252.91
2025-02-18,252.27
2025-02-19,251.72
2025-02-20,251.34
2025-02-21,250.89
2025-02-24,250.24
2025-02-25,249.56
2025-02-27,248.83
2025-02-28,247.91
2025-03-03,247.02
2025-03-04,246.22
2025-03-05,245.54
2025-03-06,245.04
2025-03-07,244.56
2025-03-10,243.72
2025-03-11,243.06
2025-03-12,242.32
2025-03-13,241.66
2025-03-17,241.19
2025-03-18,240.84
2025-03-19,240.51
2025-03-20,240.32
2025-03-21,240.4
2025-03-24,240.54
2025-03-25,240.6
2025-03-26,240.57
2025-03-27,240.63
2025-03-28,240.86
2025-04-01,241.14
2025-04-02,241.51
2025-04-03,241.58
2025-04-04,240.97
2025-04-07,240.14
2025-04-08,239.62
2025-04-09,238.92
2025-04-11,238.59
2025-04-15,238.36
2025-04-16,238.47
2025-04-17,238.67
2025-04-21,239.1
2025-04-22,239.44
2025-04-23,239.94
2025-04-24,240.31
2025-04-25,240.55
2025-04-28,240.94
2025-04-29,241.13
2025-04-30,241.26
2025-05-02,241.34
2025-05-05,241.26
2025-05-06,241.09
2025-05-07,241.0
2025-05-08,240.69
2025-05-09,240.47
2025-05-12,240.61
2025-05-13,240.63
2025-05-14,240.84
2025-05-15,241.1
2025-05-16,241.35
2025-05-19,241.55
2025-05-20,241.85
2025-05-21,242.12
2025-05-22,242.1
2025-05-23,242.19
2025-05-26,242.33
2025-05-27,242.42
2025-05-28,242.43
2025-05-29,242.45
2025-05-30,242.33
2025-06-02,242.18
2025-06-03,241.98
2025-06-04,241.83
2025-06-05,241.67
2025-06-06,241.61
