displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,2285.11,,,2021,Annual
Cash Equivalents ,CashEquivalents,1734.26,,,2021,Annual
Short Term Investments ,ShortTermInvestments,8432.37,,,2021,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,12451.74,,,2021,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,16015.83,,,2021,Annual
Total Receivables Net ,TotalReceivablesNet,33057.45,,,2021,Annual
Total Inventory ,TotalInventory,44573.33,,,2021,Annual
Prepaid Expenses ,PrepaidExpenses,393.25,,,2021,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,2645.41,,,2021,Annual
Total Current Assets ,TotalCurrentAssets,93121.17,,,2021,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,141393.62,,,2021,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-51361.42,,,2021,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,292211.26,,,2021,Annual
Goodwill Net ,GoodwillNet,13538.59,,,2021,Annual
Intangibles Net ,IntangiblesNet,38297.46,,,2021,Annual
Long Term Investments ,LongTermInvestments,60965.60,,,2021,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,18196.13,,,2021,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,26948.54,,,2021,Annual
Total Assets ,TotalAssets,543278.75,,,2021,Annual
Accounts Payable ,AccountsPayable,26925.03,,,2021,Annual
Accrued Expenses ,AccruedExpenses,2310.24,,,2021,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,39899.09,,,2021,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,4479.57,,,2021,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,49652.59,,,2021,Annual
Total Current Liabilities ,TotalCurrentLiabilities,123266.52,,,2021,Annual
Long Term Debt ,LongTermDebt,79162.06,,,2021,Annual
Capital Lease Obligations ,CapitalLeaseObligations,9646.20,,,2021,Annual
Total Long Term Debt ,TotalLongTermDebt,88808.27,,,2021,Annual
Total Debt ,TotalDebt,133186.92,,,2021,Annual
Deferred Income Tax ,DeferredIncomeTax,45400.45,,,2021,Annual
Minority Interest ,MinorityInterest,21615.80,,,2021,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,43206.73,,,2021,Annual
Total Liabilities ,TotalLiabilities,322297.76,,,2021,Annual
Common Stock Total ,CommonStockTotal,6290.14,,,2021,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),190174.75,,,2021,Annual
Other Equity Total ,OtherEquityTotal,24516.10,,,2021,Annual
Total Equity ,TotalEquity,220980.99,,,2021,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,543278.75,,,2021,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,1258.03,,,2021,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,134.45,,,2021,Annual
period Length ,periodLength,0.00,,,2021,Annual
