displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,21360.25,,,2021,Annual
Depreciation/ Depletion ,Depreciation/Depletion,25538.47,,,2021,Annual
Non- Cash Items ,Non-CashItems,11762.71,,,2021,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-11476.24,,,2021,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,47185.19,,,2021,Annual
Capital Expenditures ,CapitalExpenditures,-42984.33,,,2021,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,3892.42,,,2021,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-39091.90,,,2021,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-4755.07,,,2021,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-3096.29,,,2021,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-388.12,,,2021,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-8239.48,,,2021,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,-49.25,,,2021,Annual
Net Changein Cash ,NetChangeinCash,-195.44,,,2021,Annual
Cash Interest Paid ,CashInterestPaid,3834.06,,,2021,Annual
Cash Taxes Paid ,CashTaxesPaid,7536.52,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
