displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,166576.75,,,2025,Interim
Total Revenue ,TotalRevenue,166576.75,,,2025,Interim
Costof Revenue Total ,CostofRevenueTotal,109255.94,,,2025,Interim
Gross Profit ,GrossProfit,57320.81,,,2025,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,22973.69,,,2025,Interim
Research Development ,ResearchDevelopment,1679.28,,,2025,Interim
Depreciation/ Amortization ,Depreciation/Amortization,8075.47,,,2025,Interim
Unusual Expense( Income) ,UnusualExpense(Income),0.00,,,2025,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,10873.57,,,2025,Interim
Total Operating Expense ,TotalOperatingExpense,152857.95,,,2025,Interim
Operating Income ,OperatingIncome,13718.80,,,2025,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-2723.30,,,2025,Interim
Other Net ,OtherNet,2985.51,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,13981.01,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,3745.37,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,10235.64,,,2025,Interim
Minority Interest ,MinorityInterest,-299.19,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,9936.45,,,2025,Interim
Net Income ,NetIncome,9936.45,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,9936.45,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,9936.45,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,9936.45,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,1257.78,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,7.90,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,7.90,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
