displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,523978.60
Revenue - trailing 12 month,revenueTrailing12Month),6618143.00
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,362256.10
EBITD - trailing 12 month,eBITDTrailing12Month,890284.50
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,361534.60
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,28.82
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,6632623.00
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,363361.30
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,532093.20
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,525489.50
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,888607.10
