displayName,key,value
Operating margin - trailing 12 month,operatingMarginTrailing12Month,8.17
Gross Margin - 5 year average,grossMargin5YearAverage,30.48
Operating margin - 1st historical fiscal year,operatingMargin1stHistoricalFiscalYear),8.07
Operating Margin - 5 year average,operatingMargin5YearAverage,8.47
Net Profit Margin % - 1st historical fiscal year,netProfitMarginPercent1stHistoricalFiscalYear,5.78
Gross Margin - 1st historical fiscal year,grossMargin1stHistoricalFiscalYear,35.69
Net Profit Margin % - trailing 12 month,netProfitMarginPercentTrailing12Month,5.86
Net Profit Margin - 5 year average,netProfitMargin5YearAverage,6.85
Pretax Margin - 5 year average,pretaxMargin5YearAverage,8.81
"Free Operating Cash Flow/Revenue, TTM",freeOperatingCashFlowPerRevenueTTM,2.75
Pretax margin - 1st historical fiscal year,pretaxMargin1stHistoricalFiscalYear,7.90
Pretax margin - trailing 12 month,pretaxMarginTrailing12Month,8.04
"Free Operating Cash Flow/Revenue, 5 Year Average",freeOperatingCashFlowPerRevenue5YearAverage,3.16
Gross Margin - trailing 12 month,grossMarginTrailing12Month,35.69
