displayName,key,value
Dividend Per Share - 5 year average,dividendperShare5YearAverage,9.97
Cash Flow per share  - trailing 12 month,cashFlowPerShareTrailing12Month,58.49
Free Cash Flow per share - trailing 12 month,freeCashFlowpersharetrailing12month,
Cash Flow per share - most recent fiscal year,cashflowPerShareMostRecentFiscalYear,58.46
Book value (tangible) per share - most recent quarter,bookValueTangibleperSharemostRecentQuarter,241.33
Cash per share - most recent quarter,cashPerShareMostRecentQuarter,36.47
EPS including extraordinary items - trailing 12 month,ePSIncludingExtraOrdinaryItemsTrailing12Month,28.74
EPS including extraordinary items - most recent fiscal year,ePSIncludingExtraordinaryItemsMostRecentFiscalYear,28.80
EBITD per share - trailing 12 month,eBITDPerShareTrailing12Month,70.77
Revenue/share - trailing 12 month,rRevenuePerShareTrailing12onth,526.09
EPS excluding extraordinary items - trailing 12 month,eEPSExcludingExtraordinaryIitemsTrailing12onth,28.74
EPS Basic excluding extraordinary items - most recent fiscal year,ePSBasicExcludingExtraordinaryItemsMostRecentFiscalYear,28.80
EPS Basic excluding extraordinary items - trailing 12 month,ePSBasicExcludingExtraordinaryItemsItrailing12Month,28.74
Book value per share - most recent fiscal year,bookValuePerShare MostRecentFiscalYear,273.00
Book value per share - most recent quarter,bookValuePerShareMostRecentQuarter,273.00
Dividend per share - most recent fiscal year,dividendPerShare MostRecentFiscalYear,12.25
Revenue/share - most recent fiscal year,revenuePerShareMostRecentFiscalYear,527.31
EPS Normalized - most recent fiscal year,ePSNormalizedMostRecentFiscalYear,28.89
Book value (tangible) per share - most recent fiscal year,bookValuePerShareMostRecentFiscalYear,241.33
Dividends per share - trailing 12 month,dividendsPerShareTrailing12Month,12.25
EPS excluding extraordinary items - most recent fiscal year,eEPSExcludingExtraordinaryItemsMmostRecentFiscal yea,28.80
Cash per share - most recent fiscal year,cashPerShareMostRecentFiscalYear,36.47
