displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,5048.18,,,2022,Annual
Short Term Investments ,ShortTermInvestments,6156.69,,,2022,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,11204.87,,,2022,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,13369.56,,,2022,Annual
Total Receivables Net ,TotalReceivablesNet,13468.15,,,2022,Annual
Total Inventory ,TotalInventory,1357.17,,,2022,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,240.14,,,2022,Annual
Total Current Assets ,TotalCurrentAssets,26270.33,,,2022,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,202848.25,,,2022,Annual
Intangibles Net ,IntangiblesNet,1778.19,,,2022,Annual
Long Term Investments ,LongTermInvestments,8378.80,,,2022,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,406.45,,,2022,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,15516.37,,,2022,Annual
Total Assets ,TotalAssets,255198.39,,,2022,Annual
Accounts Payable ,AccountsPayable,267.10,,,2022,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2022,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,24648.88,,,2022,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,14579.02,,,2022,Annual
Total Current Liabilities ,TotalCurrentLiabilities,39495.00,,,2022,Annual
Long Term Debt ,LongTermDebt,114199.40,,,2022,Annual
Capital Lease Obligations ,CapitalLeaseObligations,27.58,,,2022,Annual
Total Long Term Debt ,TotalLongTermDebt,114226.98,,,2022,Annual
Total Debt ,TotalDebt,138875.86,,,2022,Annual
Deferred Income Tax ,DeferredIncomeTax,11422.55,,,2022,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,13797.57,,,2022,Annual
Total Liabilities ,TotalLiabilities,178942.10,,,2022,Annual
Common Stock Total ,CommonStockTotal,6975.45,,,2022,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),69280.84,,,2022,Annual
Total Equity ,TotalEquity,76256.29,,,2022,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,255198.39,,,2022,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,930.06,,,2022,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,80.08,,,2022,Annual
period Length ,periodLength,0.00,,,2022,Annual
