displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,15139.03,,,2021,Annual
Depreciation/ Depletion ,Depreciation/Depletion,12039.19,,,2021,Annual
Non- Cash Items ,Non-CashItems,6825.44,,,2021,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-4872.02,,,2021,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,29131.64,,,2021,Annual
Capital Expenditures ,CapitalExpenditures,-9363.55,,,2021,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,390.60,,,2021,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-8972.95,,,2021,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-9072.78,,,2021,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-6821.99,,,2021,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-4626.28,,,2021,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-20521.05,,,2021,Annual
Net Changein Cash ,NetChangeinCash,-362.36,,,2021,Annual
Cash Interest Paid ,CashInterestPaid,9113.71,,,2021,Annual
Cash Taxes Paid ,CashTaxesPaid,2186.50,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
