displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,35588.11,,,2020,Annual
Other Revenue Total ,OtherRevenueTotal,2155.43,,,2020,Annual
Total Revenue ,TotalRevenue,37743.54,,,2020,Annual
Costof Revenue Total ,CostofRevenueTotal,385.32,,,2020,Annual
Operations Maintenance ,OperationsMaintenance,768.22,,,2020,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,3206.04,,,2020,Annual
Research Development ,ResearchDevelopment,9.54,,,2020,Annual
Depreciation/ Amortization ,Depreciation/Amortization,11958.50,,,2020,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,-242.92,,,2020,Annual
Total Operating Expense ,TotalOperatingExpense,16084.70,,,2020,Annual
Operating Income ,OperatingIncome,21658.84,,,2020,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-10878.45,,,2020,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-17.20,,,2020,Annual
Other Net ,OtherNet,2143.56,,,2020,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,12906.75,,,2020,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,3530.75,,,2020,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,9376.00,,,2020,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,9376.00,,,2020,Annual
Net Income ,NetIncome,9376.00,,,2020,Annual
Total Adjustmentsto Net Income ,TotalAdjustmentstoNetIncome,16834.00,,,2020,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,11059.40,,,2020,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,11059.40,,,2020,Annual
Diluted Net Income ,DilutedNetIncome,11059.40,,,2020,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,930.06,,,2020,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,11.89,,,2020,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,5.63,,,2020,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,11.90,,,2020,Annual
period Length ,periodLength,12,,,2020,Annual
period Type ,periodType,Months,,,2020,Annual
