displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Other Revenue Total ,OtherRevenueTotal,11549.79,,,2024,Interim
Total Revenue ,TotalRevenue,11549.79,,,2024,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,607.99,,,2024,Interim
Depreciation/ Amortization ,Depreciation/Amortization,3293.46,,,2024,Interim
Unusual Expense( Income) ,UnusualExpense(Income),0.00,,,2024,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,728.91,,,2024,Interim
Total Operating Expense ,TotalOperatingExpense,4630.36,,,2024,Interim
Operating Income ,OperatingIncome,6919.43,,,2024,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-2484.04,,,2024,Interim
Other Net ,OtherNet,269.91,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,4705.30,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,787.52,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,3917.78,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,3917.78,,,2024,Interim
Net Income ,NetIncome,3917.78,,,2024,Interim
Total Adjustmentsto Net Income ,TotalAdjustmentstoNetIncome,1104.70,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,4028.25,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,4028.25,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,4028.25,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,930.31,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,4.33,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,4.50,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,4.33,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
