displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,-0.68
"Revenue growth rate, 5 year",revenueGrowthRate5Year,3.94
"EPS growth rate, 5 year",ePSGrowthRate5Year,6.63
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,2.48
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,0.70
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,-3.23
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),3.57
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,-31.08
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,7.69
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,3.47
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,16.25
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,-0.11
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,3.24
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,7.45
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),-1.89
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,6.03
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,3.05
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,-2.44
