displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,19762.00,,,2020,Annual
Short Term Investments ,ShortTermInvestments,103079.00,,,2020,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,122841.00,,,2020,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,19656.00,,,2020,Annual
Total Receivables Net ,TotalReceivablesNet,53609.00,,,2020,Annual
Total Inventory ,TotalInventory,73903.00,,,2020,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,7907.00,,,2020,Annual
Total Current Assets ,TotalCurrentAssets,258260.00,,,2020,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,586027.00,,,2020,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-150107,,,2020,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,495016.00,,,2020,Annual
Goodwill Net ,GoodwillNet,10259.00,,,2020,Annual
Intangibles Net ,IntangiblesNet,136489.00,,,2020,Annual
Long Term Investments ,LongTermInvestments,203852.00,,,2020,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,27456.00,,,2020,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,34583.00,,,2020,Annual
Total Assets ,TotalAssets,1165915.00,,,2020,Annual
Accounts Payable ,AccountsPayable,96799.00,,,2020,Annual
Accrued Expenses ,AccruedExpenses,4229.00,,,2020,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,93786.00,,,2020,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,46058.00,,,2020,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,172044.00,,,2020,Annual
Total Current Liabilities ,TotalCurrentLiabilities,412916.00,,,2020,Annual
Long Term Debt ,LongTermDebt,197631.00,,,2020,Annual
Capital Lease Obligations ,CapitalLeaseObligations,7516.00,,,2020,Annual
Total Long Term Debt ,TotalLongTermDebt,205147.00,,,2020,Annual
Total Debt ,TotalDebt,344991.00,,,2020,Annual
Deferred Income Tax ,DeferredIncomeTax,54123.00,,,2020,Annual
Minority Interest ,MinorityInterest,8016.00,,,2020,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,32382.00,,,2020,Annual
Total Liabilities ,TotalLiabilities,712584.00,,,2020,Annual
Common Stock Total ,CommonStockTotal,6339.00,,,2020,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,61395.00,,,2020,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),308001.00,,,2020,Annual
Other Equity Total ,OtherEquityTotal,77596.00,,,2020,Annual
Total Equity ,TotalEquity,453331.00,,,2020,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,1165915.00,,,2020,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,1279.87,,,2020,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,239.54,,,2020,Annual
period Length ,periodLength,0.00,,,2020,Annual
