displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,106502.00,,,2025,Annual
Short Term Investments ,ShortTermInvestments,142255.00,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,248757.00,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,42121.00,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,47303.00,,,2025,Annual
Total Inventory ,TotalInventory,146062.00,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,57148.00,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,499270.00,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,852812.00,,,2025,Annual
Goodwill Net ,GoodwillNet,24530.00,,,2025,Annual
Intangibles Net ,IntangiblesNet,384409.00,,,2025,Annual
Long Term Investments ,LongTermInvestments,129760.00,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,742.00,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,58598.00,,,2025,Annual
Total Assets ,TotalAssets,1950121.00,,,2025,Annual
Accounts Payable ,AccountsPayable,186789.00,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,115534.00,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,151414.00,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,453737.00,,,2025,Annual
Long Term Debt ,LongTermDebt,236899.00,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,17142.00,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,254041.00,,,2025,Annual
Total Debt ,TotalDebt,369575.00,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,83453.00,,,2025,Annual
Minority Interest ,MinorityInterest,166426.00,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,149264.00,,,2025,Annual
Total Liabilities ,TotalLiabilities,1106921.00,,,2025,Annual
Common Stock Total ,CommonStockTotal,13532.00,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),829668.00,,,2025,Annual
Total Equity ,TotalEquity,843200.00,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,1950121.00,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,1353.24,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,320.91,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
