displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,53606.00,,,2020,Annual
Depreciation/ Depletion ,Depreciation/Depletion,22203.00,,,2020,Annual
Non- Cash Items ,Non-CashItems,9538.00,,,2020,Annual
Changesin Working Capital ,ChangesinWorkingCapital,9553.00,,,2020,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,94900.00,,,2020,Annual
Capital Expenditures ,CapitalExpenditures,-76517,,,2020,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,3997.00,,,2020,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-72520,,,2020,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-32487,,,2020,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-4592,,,2020,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,19.00,,,2020,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,34519.00,,,2020,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-2541,,,2020,Annual
Net Changein Cash ,NetChangeinCash,19839.00,,,2020,Annual
Cash Interest Paid ,CashInterestPaid,28508.00,,,2020,Annual
Cash Taxes Paid ,CashTaxesPaid,8386.00,,,2020,Annual
period Length ,periodLength,12,,,2020,Annual
period Type ,periodType,Months,,,2020,Annual
