displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,236217.00,,,2025,Interim
Total Revenue ,TotalRevenue,236217.00,,,2025,Interim
Costof Revenue Total ,CostofRevenueTotal,157891.00,,,2025,Interim
Gross Profit ,GrossProfit,78326.00,,,2025,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,7071.00,,,2025,Interim
Depreciation/ Amortization ,Depreciation/Amortization,13596.00,,,2025,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,32490.00,,,2025,Interim
Total Operating Expense ,TotalOperatingExpense,211048.00,,,2025,Interim
Operating Income ,OperatingIncome,25169.00,,,2025,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-5921,,,2025,Interim
Other Net ,OtherNet,3983.00,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,23231.00,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,5786.00,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,17445.00,,,2025,Interim
Minority Interest ,MinorityInterest,-2307,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,15138.00,,,2025,Interim
Net Income ,NetIncome,15138.00,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,15138.00,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,15138.00,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,15138.00,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,1353.42,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,11.19,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,11.19,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
