displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,1065390.00
Revenue - trailing 12 month,revenueTrailing12Month),9801360.00
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,696480.00
EBITD - trailing 12 month,eBITDTrailing12Month,1654440.00
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,696480.00
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,51.47
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,9801360.00
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,696480.00
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,1065390.00
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,1065390.00
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,1654440.00
