Date,Price on NSE
2024-06-06,1431.6
2024-06-07,1469.95
2024-06-10,1471.4
2024-06-11,1456.68
2024-06-12,1463.33
2024-06-13,1465.25
2024-06-14,1477.55
2024-06-18,1481.03
2024-06-19,1458.65
2024-06-20,1473.7
2024-06-21,1454.2
2024-06-24,1441.48
2024-06-25,1454.15
2024-06-26,1514.03
2024-06-27,1530.55
2024-06-28,1565.4
2024-07-01,1560.15
2024-07-02,1565.18
2024-07-03,1552.43
2024-07-04,1554.03
2024-07-05,1588.63
2024-07-08,1600.9
2024-07-09,1590.28
2024-07-10,1584.23
2024-07-11,1580.65
2024-07-12,1596.73
2024-07-15,1597.23
2024-07-16,1576.25
2024-07-18,1586.68
2024-07-19,1555.15
2024-07-22,1500.68
2024-07-23,1487.9
2024-07-24,1495.7
2024-07-25,1492.4
2024-07-26,1509.03
2024-07-29,1520.1
2024-07-30,1513.15
2024-07-31,1505.43
2024-08-01,1515.3
2024-08-02,1499.33
2024-08-05,1447.33
2024-08-06,1456.05
2024-08-07,1464.83
2024-08-08,1449.13
2024-08-09,1474.3
2024-08-12,1460.63
2024-08-13,1463.63
2024-08-14,1461.85
2024-08-16,1478.2
2024-08-19,1488.4
2024-08-20,1495.95
2024-08-21,1498.68
2024-08-22,1498.13
2024-08-23,1499.98
2024-08-26,1512.6
2024-08-27,1500.45
2024-08-28,1498.3
2024-08-29,1520.93
2024-08-30,1509.63
2024-09-02,1516.25
2024-09-03,1509.13
2024-09-04,1514.55
2024-09-05,1492.98
2024-09-06,1464.83
2024-09-09,1462.45
2024-09-10,1461.53
2024-09-11,1451.5
2024-09-12,1479.8
2024-09-13,1472.63
2024-09-16,1471.35
2024-09-17,1472.3
2024-09-18,1463.45
2024-09-19,1469.68
2024-09-20,1485.93
2024-09-23,1493.38
2024-09-24,1489.38
2024-09-25,1493.95
2024-09-26,1497.95
2024-09-27,1526.18
2024-09-30,1476.58
2024-10-01,1464.83
2024-10-03,1406.98
2024-10-04,1386.53
2024-10-07,1370.73
2024-10-08,1397.35
2024-10-09,1374.6
2024-10-10,1371.05
2024-10-11,1372.1
2024-10-14,1372.53
2024-10-15,1344.03
2024-10-16,1354.08
2024-10-17,1356.43
2024-10-18,1359.3
2024-10-21,1369.2
2024-10-22,1343.35
2024-10-23,1338.53
2024-10-24,1339.8
2024-10-25,1327.85
2024-10-28,1334.35
2024-10-29,1340.0
2024-10-30,1343.9
2024-10-31,1332.05
2024-11-01,1338.65
2024-11-04,1302.15
2024-11-05,1305.3
2024-11-06,1325.35
2024-11-07,1305.65
2024-11-08,1283.75
2024-11-11,1272.7
2024-11-12,1274.25
2024-11-13,1252.05
2024-11-14,1267.6
2024-11-18,1260.75
2024-11-19,1241.65
2024-11-21,1223.0
2024-11-22,1265.4
2024-11-25,1287.0
2024-11-26,1295.7
2024-11-27,1293.2
2024-11-28,1270.8
2024-11-29,1292.2
2024-12-02,1309.15
2024-12-03,1323.3
2024-12-04,1308.95
2024-12-05,1322.05
2024-12-06,1311.55
2024-12-09,1295.15
2024-12-10,1284.85
2024-12-11,1278.2
2024-12-12,1262.9
2024-12-13,1272.85
2024-12-16,1268.3
2024-12-17,1245.3
2024-12-18,1253.25
2024-12-19,1230.45
2024-12-20,1205.3
2024-12-23,1222.3
2024-12-24,1222.75
2024-12-26,1216.55
2024-12-27,1221.05
2024-12-30,1210.7
2024-12-31,1215.45
2025-01-01,1221.25
2025-01-02,1241.8
2025-01-03,1251.15
2025-01-06,1218.0
2025-01-07,1240.85
2025-01-08,1265.5
2025-01-09,1254.75
2025-01-10,1241.9
2025-01-13,1239.85
2025-01-14,1238.75
2025-01-15,1252.2
2025-01-16,1266.45
2025-01-17,1302.35
2025-01-20,1305.45
2025-01-21,1273.7
2025-01-22,1277.1
2025-01-23,1263.65
2025-01-24,1246.3
2025-01-27,1229.35
2025-01-28,1234.4
2025-01-29,1235.5
2025-01-30,1253.05
2025-01-31,1265.1
2025-02-01,1264.6
2025-02-03,1245.9
2025-02-04,1285.2
2025-02-05,1278.2
2025-02-06,1281.55
2025-02-07,1266.7
2025-02-10,1253.65
2025-02-11,1234.85
2025-02-12,1216.55
2025-02-13,1216.1
2025-02-14,1217.25
2025-02-17,1224.9
2025-02-18,1225.4
2025-02-19,1227.45
2025-02-20,1233.0
2025-02-21,1228.15
2025-02-24,1214.55
2025-02-25,1204.0
2025-02-27,1207.1
2025-02-28,1200.1
2025-03-03,1171.25
2025-03-04,1161.9
2025-03-05,1175.6
2025-03-06,1209.6
2025-03-07,1249.8
2025-03-10,1238.4
2025-03-11,1247.3
2025-03-12,1257.05
2025-03-13,1247.9
2025-03-17,1238.85
2025-03-18,1238.8
2025-03-19,1247.15
2025-03-20,1269.15
2025-03-21,1276.35
2025-03-24,1302.1
2025-03-25,1285.45
2025-03-26,1273.05
2025-03-27,1278.2
2025-03-28,1275.1
2025-04-01,1252.6
2025-04-02,1251.15
2025-04-03,1248.7
2025-04-04,1204.7
2025-04-07,1165.7
2025-04-08,1182.2
2025-04-09,1185.35
2025-04-11,1218.95
2025-04-15,1240.1
2025-04-16,1239.3
2025-04-17,1274.5
2025-04-21,1295.5
2025-04-22,1291.2
2025-04-23,1300.0
2025-04-24,1301.6
2025-04-25,1300.4
2025-04-28,1368.8
2025-04-29,1399.7
2025-04-30,1405.0
2025-05-02,1422.4
2025-05-05,1431.3
2025-05-06,1420.9
2025-05-07,1406.0
2025-05-08,1407.0
2025-05-09,1377.2
2025-05-12,1436.5
2025-05-13,1415.7
2025-05-14,1424.4
2025-05-15,1454.2
2025-05-16,1456.4
2025-05-19,1440.8
2025-05-20,1424.6
2025-05-21,1429.2
2025-05-22,1409.4
2025-05-23,1426.8
2025-05-26,1434.8
2025-05-27,1422.1
2025-05-28,1412.9
2025-05-29,1417.8
2025-05-30,1420.9
2025-06-02,1413.7
2025-06-03,1405.5
2025-06-04,1423.5
2025-06-05,1442.4
2025-06-06,1443.5
