Date,Volume,Delivery (%)
2024-06-06,18366477,38.0
2024-06-07,20463100,46.0
2024-06-10,9425892,50.0
2024-06-11,12026798,67.0
2024-06-12,10426855,52.0
2024-06-13,9296286,52.0
2024-06-14,8530687,53.0
2024-06-18,7412786,59.0
2024-06-19,8920890,54.0
2024-06-20,16312020,44.0
2024-06-21,32965300,50.0
2024-06-24,9003742,63.0
2024-06-25,7464838,62.0
2024-06-26,23460202,52.0
2024-06-27,29045250,
2024-06-28,31023112,44.0
2024-07-01,8099517,53.0
2024-07-02,8063438,50.0
2024-07-03,9392959,53.0
2024-07-04,7102117,42.0
2024-07-05,13787622,34.0
2024-07-08,9884546,61.0
2024-07-09,7295092,63.0
2024-07-10,7276372,48.0
2024-07-11,12147310,42.0
2024-07-12,14369314,40.0
2024-07-15,5648164,52.0
2024-07-16,9505150,65.0
2024-07-18,12610836,47.0
2024-07-19,14288100,57.0
2024-07-22,20054457,60.0
2024-07-23,18579771,56.0
2024-07-24,12241839,45.0
2024-07-25,12694620,59.0
2024-07-26,11402231,44.0
2024-07-29,7657606,58.0
2024-07-30,8519690,58.0
2024-07-31,10182641,63.0
2024-08-01,10903954,67.0
2024-08-02,11493134,57.0
2024-08-05,17540974,64.0
2024-08-06,10624456,51.0
2024-08-07,8419087,63.0
2024-08-08,12741574,60.0
2024-08-09,7012288,43.0
2024-08-12,8477504,64.0
2024-08-13,9237059,68.0
2024-08-14,6381640,55.0
2024-08-16,10663408,42.0
2024-08-19,13982382,66.0
2024-08-20,9035406,66.0
2024-08-21,7950693,64.0
2024-08-22,10832712,62.0
2024-08-23,10300613,48.0
2024-08-26,9206293,61.0
2024-08-27,6396276,64.0
2024-08-28,9712482,72.0
2024-08-29,39426839,41.0
2024-08-30,43012397,56.0
2024-09-02,11841060,60.0
2024-09-03,11337518,72.0
2024-09-04,12385874,70.0
2024-09-05,16888618,60.0
2024-09-06,21434240,54.0
2024-09-09,9446363,63.0
2024-09-10,11203270,61.0
2024-09-11,10017552,61.0
2024-09-12,23039210,50.0
2024-09-13,9436367,49.0
2024-09-16,5564614,60.0
2024-09-17,6295972,66.0
2024-09-18,8969403,62.0
2024-09-19,17077457,60.0
2024-09-20,34303283,54.0
2024-09-23,9429277,62.0
2024-09-24,17600996,80.0
2024-09-25,7363798,61.0
2024-09-26,19122050,67.0
2024-09-27,21499729,68.0
2024-09-30,27859469,72.0
2024-10-01,17900006,72.0
2024-10-03,44846897,70.0
2024-10-04,39312977,58.0
2024-10-07,23303658,70.0
2024-10-08,17339309,61.0
2024-10-09,14951694,64.0
2024-10-10,23089544,72.0
2024-10-11,8862686,44.0
2024-10-14,12726226,67.0
2024-10-15,35049817,66.0
2024-10-16,20669637,62.0
2024-10-17,17205969,65.0
2024-10-18,13501919,52.0
2024-10-21,14461427,66.0
2024-10-22,16210236,64.0
2024-10-23,18064292,63.0
2024-10-24,23023321,65.0
2024-10-25,20067987,63.0
2024-10-28,11208484,60.0
2024-10-29,12371734,65.0
2024-10-30,12308744,62.0
2024-10-31,9989607,63.0
2024-11-01,2418194,71.0
2024-11-04,21148722,54.0
2024-11-05,16677953,57.0
2024-11-06,22498971,63.0
2024-11-07,10141578,59.0
2024-11-08,20741512,62.0
2024-11-11,9752118,54.0
2024-11-12,11263311,52.0
2024-11-13,15159434,63.0
2024-11-14,13412160,54.0
2024-11-18,14229856,60.0
2024-11-19,14581699,61.0
2024-11-21,19924916,60.0
2024-11-22,21527797,62.0
2024-11-25,29885874,59.0
2024-11-26,9734581,59.0
2024-11-27,9836319,53.0
2024-11-28,15509231,60.0
2024-11-29,13951198,54.0
2024-12-02,11657536,46.0
2024-12-03,17214155,71.0
2024-12-04,20047032,71.0
2024-12-05,17533570,46.0
2024-12-06,9450215,61.0
2024-12-09,15204026,67.0
2024-12-10,16482715,73.0
