Date,50 DMA
2024-06-06,797.17
2024-06-07,798.46
2024-06-10,799.77
2024-06-11,801.17
2024-06-12,802.66
2024-06-13,804.28
2024-06-14,805.64
2024-06-18,807.18
2024-06-19,808.97
2024-06-20,810.33
2024-06-21,811.35
2024-06-24,812.19
2024-06-25,813.36
2024-06-26,814.62
2024-06-27,815.77
2024-06-28,817.07
2024-07-01,818.05
2024-07-02,818.37
2024-07-03,819.21
2024-07-04,820.0
2024-07-05,821.56
2024-07-08,822.92
2024-07-09,824.42
2024-07-10,825.39
2024-07-11,826.62
2024-07-12,827.91
2024-07-15,830.01
2024-07-16,832.0
2024-07-18,834.41
2024-07-19,836.56
2024-07-22,838.14
2024-07-23,839.15
2024-07-24,839.66
2024-07-25,840.0
2024-07-26,840.88
2024-07-29,842.09
2024-07-30,843.29
2024-07-31,844.43
2024-08-01,845.15
2024-08-02,845.25
2024-08-05,843.94
2024-08-06,842.12
2024-08-07,840.81
2024-08-08,839.53
2024-08-09,838.93
2024-08-12,837.9
2024-08-13,836.31
2024-08-14,835.01
2024-08-16,834.11
2024-08-19,833.31
2024-08-20,832.8
2024-08-21,832.12
2024-08-22,831.66
2024-08-23,831.02
2024-08-26,830.39
2024-08-27,829.82
2024-08-28,829.02
2024-08-29,828.45
2024-08-30,827.95
2024-09-02,827.72
2024-09-03,827.61
2024-09-04,827.17
2024-09-05,826.84
2024-09-06,825.1
2024-09-09,823.5
2024-09-10,821.9
2024-09-11,819.81
2024-09-12,818.55
2024-09-13,817.47
2024-09-16,816.21
2024-09-17,814.91
2024-09-18,814.04
2024-09-19,813.09
2024-09-20,811.86
2024-09-23,811.47
2024-09-24,810.95
2024-09-25,810.25
2024-09-26,809.92
2024-09-27,809.64
2024-09-30,808.78
2024-10-01,808.32
2024-10-03,807.76
2024-10-04,807.33
2024-10-07,805.89
2024-10-08,804.93
2024-10-09,804.63
2024-10-10,804.34
2024-10-11,804.16
2024-10-14,804.2
2024-10-15,804.22
2024-10-16,804.26
2024-10-17,804.53
2024-10-18,805.15
2024-10-21,805.5
2024-10-22,804.91
2024-10-23,804.16
2024-10-24,803.79
2024-10-25,802.89
2024-10-28,802.47
2024-10-29,803.65
2024-10-30,804.39
2024-10-31,805.01
2024-11-01,805.64
2024-11-04,806.59
2024-11-05,808.26
2024-11-06,810.09
2024-11-07,812.03
2024-11-08,813.25
2024-11-11,814.6
2024-11-12,815.07
2024-11-13,814.82
2024-11-14,814.41
2024-11-18,814.4
2024-11-19,813.96
2024-11-21,812.65
2024-11-22,812.79
2024-11-25,814.03
2024-11-26,815.02
2024-11-27,815.77
2024-11-28,816.68
2024-11-29,817.55
2024-12-02,818.29
2024-12-03,819.69
2024-12-04,821.26
2024-12-05,822.99
2024-12-06,824.58
2024-12-09,825.9
2024-12-10,827.53
2024-12-11,828.86
2024-12-12,829.84
2024-12-13,831.08
2024-12-16,832.25
2024-12-17,832.97
2024-12-18,833.17
2024-12-19,833.16
2024-12-20,832.33
2024-12-23,831.89
2024-12-24,831.11
2024-12-26,830.38
2024-12-27,829.18
2024-12-30,827.57
2024-12-31,826.29
2025-01-01,825.0
2025-01-02,824.06
2025-01-03,822.86
2025-01-06,821.04
2025-01-07,819.38
2025-01-08,817.49
2025-01-09,815.25
2025-01-10,812.43
2025-01-13,809.18
2025-01-14,806.78
2025-01-15,804.7
2025-01-16,803.2
2025-01-17,801.66
2025-01-20,800.78
2025-01-21,799.15
2025-01-22,797.35
2025-01-23,795.34
2025-01-24,793.33
2025-01-27,791.6
2025-01-28,790.06
2025-01-29,788.82
2025-01-30,787.79
2025-01-31,787.21
2025-02-01,786.38
2025-02-03,785.38
2025-02-04,785.14
2025-02-05,784.39
2025-02-06,783.13
2025-02-07,781.33
2025-02-10,779.58
2025-02-11,777.68
2025-02-12,775.93
2025-02-13,774.04
2025-02-14,772.01
2025-02-17,770.27
2025-02-18,768.52
2025-02-19,766.91
2025-02-20,765.45
2025-02-21,763.75
2025-02-24,761.89
2025-02-25,759.89
2025-02-27,757.69
2025-02-28,754.99
2025-03-03,752.65
2025-03-04,751.22
2025-03-05,750.4
2025-03-06,749.68
2025-03-07,749.01
2025-03-10,748.22
2025-03-11,747.5
2025-03-12,746.55
2025-03-13,745.81
2025-03-17,744.92
2025-03-18,744.6
2025-03-19,744.62
2025-03-20,744.81
2025-03-21,745.14
2025-03-24,746.54
2025-03-25,747.57
2025-03-26,748.22
2025-03-27,749.16
2025-03-28,750.04
2025-04-01,750.89
2025-04-02,751.87
2025-04-03,752.94
2025-04-04,753.51
2025-04-07,753.25
2025-04-08,753.85
2025-04-09,753.4
2025-04-11,753.41
2025-04-15,753.81
2025-04-16,754.51
2025-04-17,756.2
2025-04-21,758.57
2025-04-22,761.07
2025-04-23,763.13
2025-04-24,765.1
2025-04-25,766.41
2025-04-28,768.41
2025-04-29,770.14
2025-04-30,770.87
2025-05-02,772.01
2025-05-05,772.72
2025-05-06,772.77
2025-05-07,772.9
2025-05-08,772.75
2025-05-09,773.0
2025-05-12,774.13
2025-05-13,775.21
2025-05-14,776.21
2025-05-15,777.45
2025-05-16,778.02
2025-05-19,778.69
2025-05-20,778.96
2025-05-21,779.28
2025-05-22,779.51
2025-05-23,779.94
2025-05-26,780.51
2025-05-27,781.03
2025-05-28,781.64
2025-05-29,782.25
2025-05-30,783.43
2025-06-02,784.62
2025-06-03,785.6
2025-06-04,786.42
2025-06-05,787.19
2025-06-06,788.21
