displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,450055.64,,,2022,Annual
Other Earning Assets Total ,OtherEarningAssetsTotal,1831628.01,,,2022,Annual
Net Loans ,NetLoans,2673025.22,,,2022,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,70879.73,,,2022,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-31369.70,,,2022,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,39510.03,,,2022,Annual
Goodwill Net ,GoodwillNet,1550.02,,,2022,Annual
Long Term Investments ,LongTermInvestments,14762.15,,,2022,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,6745.23,,,2022,Annual
Other Assets Total ,OtherAssetsTotal,343607.22,,,2022,Annual
Total Assets ,TotalAssets,5360883.53,,,2022,Annual
Accounts Payable ,AccountsPayable,17990.62,,,2022,Annual
Total Deposits ,TotalDeposits,4087410.60,,,2022,Annual
Total Short Term Borrowings ,TotalShortTermBorrowings,33485.82,,,2022,Annual
Long Term Debt ,LongTermDebt,449159.78,,,2022,Annual
Total Long Term Debt ,TotalLongTermDebt,449159.78,,,2022,Annual
Total Debt ,TotalDebt,482645.61,,,2022,Annual
Deferred Income Tax ,DeferredIncomeTax,5.69,,,2022,Annual
Minority Interest ,MinorityInterest,11207.42,,,2022,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,456035.55,,,2022,Annual
Total Liabilities ,TotalLiabilities,5055295.48,,,2022,Annual
Common Stock Total ,CommonStockTotal,892.46,,,2022,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,79115.47,,,2022,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),183249.61,,,2022,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),31073.81,,,2022,Annual
Other Equity Total ,OtherEquityTotal,11256.69,,,2022,Annual
Total Equity ,TotalEquity,305588.05,,,2022,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,5360883.53,,,2022,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,892.46,,,2022,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,340.67,,,2022,Annual
period Length ,periodLength,0.00,,,2022,Annual
