displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,74488.30,,,2023,Annual
Depreciation/ Depletion ,Depreciation/Depletion,3695.60,,,2023,Annual
Non- Cash Items ,Non-CashItems,12736.04,,,2023,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-176933.63,,,2023,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,-86013.68,,,2023,Annual
Capital Expenditures ,CapitalExpenditures,-4671.02,,,2023,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,630.05,,,2023,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-4040.97,,,2023,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-4685.00,,,2023,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-6336.72,,,2023,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,0.01,,,2023,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,17408.09,,,2023,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,6386.38,,,2023,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,3075.05,,,2023,Annual
Net Changein Cash ,NetChangeinCash,-80593.21,,,2023,Annual
Cash Interest Paid ,CashInterestPaid,6324.63,,,2023,Annual
Cash Taxes Paid ,CashTaxesPaid,17323.72,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
