displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Interest Income Bank ,InterestIncomeBank,278115.48,,,2021,Annual
Total Interest Expense ,TotalInterestExpense,156010.17,,,2021,Annual
Net Interest Income ,NetInterestIncome,122105.31,,,2021,Annual
Loan Loss Provision ,LoanLossProvision,23485.65,,,2021,Annual
Net Interest Inc After Loan Loss Prov ,NetInterestIncAfterLoanLossProv,98619.66,,,2021,Annual
Non- Interest Income Bank ,Non-InterestIncomeBank,107222.41,,,2021,Annual
Non- Interest Expense Bank ,Non-InterestExpenseBank,-173046.10,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,32795.97,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,8516.25,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,24279.72,,,2021,Annual
Minority Interest ,MinorityInterest,-1482.36,,,2021,Annual
Equity In Affiliates ,EquityInAffiliates,-391.90,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,22405.46,,,2021,Annual
Net Income ,NetIncome,22405.46,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,22405.46,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,22405.46,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,22405.46,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,892.46,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,25.11,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,4.00,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,31.52,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
