displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Interest Income Bank ,InterestIncomeBank,118242.45,,,2025,Interim
Total Interest Expense ,TotalInterestExpense,71700.78,,,2025,Interim
Net Interest Income ,NetInterestIncome,46541.67,,,2025,Interim
Loan Loss Provision ,LoanLossProvision,4407.62,,,2025,Interim
Net Interest Inc After Loan Loss Prov ,NetInterestIncAfterLoanLossProv,42134.05,,,2025,Interim
Non- Interest Income Bank ,Non-InterestIncomeBank,33882.60,,,2025,Interim
Non- Interest Expense Bank ,Non-InterestExpenseBank,-49588.88,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,26427.77,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,6746.97,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,19680.80,,,2025,Interim
Minority Interest ,MinorityInterest,-769.40,,,2025,Interim
Equity In Affiliates ,EquityInAffiliates,413.56,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,19324.96,,,2025,Interim
Net Income ,NetIncome,19324.96,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,19324.96,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,19324.96,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,19324.96,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,892.61,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,21.65,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,21.65,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
