Date,Volume,Delivery (%)
2024-06-06,41911473,32.0
2024-06-07,27200671,32.0
2024-06-10,18380832,36.0
2024-06-11,15645277,38.0
2024-06-12,15681850,31.0
2024-06-13,13339878,51.0
2024-06-14,14609865,32.0
2024-06-18,15892995,44.0
2024-06-19,33992039,31.0
2024-06-20,14498510,40.0
2024-06-21,20657474,35.0
2024-06-24,14909820,27.0
2024-06-25,21456015,36.0
2024-06-26,16825543,36.0
2024-06-27,20852259,
2024-06-28,25552682,45.0
2024-07-01,12052285,46.0
2024-07-02,22242779,44.0
2024-07-03,25270020,32.0
2024-07-04,14047277,46.0
2024-07-05,26372968,46.0
2024-07-08,11468015,32.0
2024-07-09,14344072,37.0
2024-07-10,17822938,36.0
2024-07-11,8982580,31.0
2024-07-12,12351821,38.0
2024-07-15,27374275,32.0
2024-07-16,12494553,41.0
2024-07-18,20499783,50.0
2024-07-19,15272453,41.0
2024-07-22,16015999,41.0
2024-07-23,19237962,28.0
2024-07-24,20250711,28.0
2024-07-25,10012960,30.0
2024-07-26,12696211,33.0
2024-07-29,28831661,29.0
2024-07-30,14038642,27.0
2024-07-31,11957235,37.0
2024-08-01,12304130,46.0
2024-08-02,13656987,39.0
2024-08-05,30066629,43.0
2024-08-06,18483450,38.0
2024-08-07,18296427,37.0
2024-08-08,15449204,33.0
2024-08-09,16143702,40.0
2024-08-12,17263310,46.0
2024-08-13,18226274,54.0
2024-08-14,12076383,37.0
2024-08-16,12195965,31.0
2024-08-19,10895399,25.0
2024-08-20,10655588,34.0
2024-08-21,14855680,46.0
2024-08-22,8327813,38.0
2024-08-23,6097807,39.0
2024-08-26,9802516,46.0
2024-08-27,13298143,43.0
2024-08-28,10568016,47.0
2024-08-29,18518617,59.0
2024-08-30,9509959,55.0
2024-09-02,12943106,44.0
2024-09-03,10841676,46.0
2024-09-04,11068416,52.0
2024-09-05,8713105,46.0
2024-09-06,42718797,62.0
2024-09-09,22755435,42.0
2024-09-10,13406718,35.0
2024-09-11,20582578,41.0
2024-09-12,17891855,47.0
2024-09-13,14015511,46.0
2024-09-16,10178402,53.0
2024-09-17,10906130,48.0
2024-09-18,19005842,47.0
2024-09-19,11047549,34.0
2024-09-20,22854035,55.0
2024-09-23,18724622,43.0
2024-09-24,15608303,56.0
2024-09-25,18990110,55.0
2024-09-26,23631759,62.0
2024-09-27,15863646,54.0
2024-09-30,16539292,59.0
2024-10-01,13508418,42.0
2024-10-03,16712526,43.0
2024-10-04,21251637,39.0
2024-10-07,25855962,37.0
2024-10-08,8856866,36.0
2024-10-09,19566196,28.0
2024-10-10,10404981,44.0
2024-10-11,14703835,68.0
2024-10-14,9722850,45.0
2024-10-15,6566458,40.0
2024-10-16,6636646,48.0
2024-10-17,19529144,47.0
2024-10-18,12133797,43.0
2024-10-21,10943841,44.0
2024-10-22,17250134,41.0
