Date,Revenue,Interest,Expenses,Financing Profit,Financing Margin %,Other Income,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Gross NPA %,Net NPA %
2022-03-01,74608.0,39944.0,54233.0,-19569.0,-26.0,33427.0,0.0,13858.0,28.0,10191.0,10.7,,
2022-06-01,76781.0,41931.0,42328.0,-7478.0,-10.0,17743.0,0.0,10265.0,27.0,7796.0,8.21,,
2022-09-01,84463.0,45232.0,49208.0,-9977.0,-12.0,30320.0,0.0,20342.0,26.0,15297.0,16.53,,
2022-12-01,91518.0,49366.0,56498.0,-14346.0,-16.0,35701.0,0.0,21355.0,27.0,15888.0,17.34,,
2023-03-01,98083.0,53451.0,59965.0,-15334.0,-16.0,38769.0,0.0,23436.0,22.0,18769.0,20.27,,
2023-06-01,101460.0,58045.0,49080.0,-5665.0,-6.0,30873.0,0.0,25208.0,26.0,19094.0,20.77,,
2023-09-01,107391.0,62955.0,59365.0,-14930.0,-14.0,36865.0,0.0,21936.0,25.0,16648.0,18.04,2.53,0.63
2023-12-01,112868.0,68092.0,62635.0,-17858.0,-16.0,33103.0,0.0,15245.0,26.0,11598.0,12.4,,
2024-03-01,117469.0,70644.0,65418.0,-18593.0,-16.0,47445.0,0.0,28852.0,25.0,22203.0,23.96,,
2024-06-01,118242.0,71701.0,53996.0,-7455.0,-6.0,33883.0,0.0,26428.0,26.0,20094.0,21.65,,
2024-09-01,121045.0,73619.0,62709.0,-15283.0,-13.0,42758.0,0.0,27474.0,26.0,20565.0,22.17,2.13,0.52
2024-12-01,124654.0,77397.0,64890.0,-17634.0,-14.0,43200.0,0.0,25566.0,25.0,19484.0,21.12,,
2025-03-01,126997.0,78227.0,74438.0,-25668.0,-20.0,52565.0,0.0,26897.0,26.0,20379.0,21.96,,
