Date,200 DMA
2024-06-06,25777.42
2024-06-07,25780.41
2024-06-10,25794.93
2024-06-11,25807.56
2024-06-12,25824.78
2024-06-13,25841.36
2024-06-14,25858.24
2024-06-18,25874.2
2024-06-19,25889.81
2024-06-20,25907.81
2024-06-21,25922.7
2024-06-24,25936.59
2024-06-25,25949.33
2024-06-26,25964.75
2024-06-27,25983.34
2024-06-28,26002.11
2024-07-01,26025.51
2024-07-02,26042.15
2024-07-03,26055.5
2024-07-04,26069.46
2024-07-05,26083.98
2024-07-08,26095.02
2024-07-09,26111.75
2024-07-10,26129.6
2024-07-11,26145.95
2024-07-12,26161.07
2024-07-15,26175.55
2024-07-16,26192.78
2024-07-18,26211.37
2024-07-19,26222.05
2024-07-22,26238.94
2024-07-23,26258.08
2024-07-24,26270.95
2024-07-25,26283.03
2024-07-26,26295.8
2024-07-29,26305.17
2024-07-30,26315.22
2024-07-31,26329.4
2024-08-01,26343.72
2024-08-02,26353.19
2024-08-05,26357.98
2024-08-06,26355.42
2024-08-07,26342.92
2024-08-08,26321.03
2024-08-09,26300.89
2024-08-12,26282.06
2024-08-13,26261.4
2024-08-14,26242.27
2024-08-16,26226.36
2024-08-19,26212.65
2024-08-20,26197.9
2024-08-21,26184.07
2024-08-22,26172.42
2024-08-23,26157.83
2024-08-26,26145.37
2024-08-27,26132.12
2024-08-28,26117.79
2024-08-29,26104.89
2024-08-30,26098.69
2024-09-02,26092.01
2024-09-03,26086.2
2024-09-04,26083.06
2024-09-05,26078.87
2024-09-06,26074.21
2024-09-09,26071.47
2024-09-10,26068.02
2024-09-11,26063.51
2024-09-12,26063.07
2024-09-13,26061.28
2024-09-16,26056.88
2024-09-17,26050.71
2024-09-18,26041.02
2024-09-19,26029.98
2024-09-20,26021.15
2024-09-23,26020.52
2024-09-24,26019.44
2024-09-25,26018.28
2024-09-26,26019.33
2024-09-27,26021.6
2024-09-30,26024.46
2024-10-01,26029.42
2024-10-03,26031.71
2024-10-04,26031.73
2024-10-07,26025.21
2024-10-08,26020.81
2024-10-09,26010.41
2024-10-10,25996.79
2024-10-11,25980.27
2024-10-14,25966.26
2024-10-15,25953.85
2024-10-16,25938.78
2024-10-17,25921.93
2024-10-18,25906.04
2024-10-21,25890.04
2024-10-22,25875.55
2024-10-23,25863.96
2024-10-24,25856.01
2024-10-25,25847.06
2024-10-28,25839.19
2024-10-29,25834.14
2024-10-30,25829.34
2024-10-31,25821.81
2024-11-01,25816.03
2024-11-04,25806.57
2024-11-05,25795.52
2024-11-06,25787.69
2024-11-07,25777.65
2024-11-08,25765.27
2024-11-11,25751.86
2024-11-12,25738.14
