rank,since,firstName,mI,lastName,age,title
1,NA,Hari,Mohan,Bangur,,"{'startYear': '2022', 'startMonth': '10', 'startDay': '15', 'iD1': 'CHM', 'abbr1': 'Chmn.', 'iD2': 'EDR', 'abbr2': 'Exec. Dir.', 'Value': 'Executive Chairman of the Board'}"
2,06/22/2004,Prashant,,Bangur,44,"{'startYear': '2022', 'startMonth': '10', 'startDay': '14', 'iD1': 'VCH', 'abbr1': 'Vice Chmn.', 'iD2': 'EDR', 'abbr2': 'Exec. Dir.', 'Value': 'Executive Vice Chairman of the Board'}"
3,09/01/2014,Subhash,,Jajoo,,"{'startYear': '2014', 'startMonth': '9', 'startDay': '1', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Finance Officer'}"
4,2023,Shailesh,,Ambastha,,"{'startYear': '2023', 'startMonth': '', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - Sales'}"
5,NA,K.,C.,Gandhi,,"{'startYear': '2016', 'startMonth': '', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Joint President - Materials Management'}"
6,07/26/2023,Ramesh,,Joshi,,"{'startYear': '2023', 'startMonth': '7', 'startDay': '26', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Joint President - Ready Mix Concrete'}"
7,NA,Arvind,,Khicha,,"{'startYear': '2019', 'startMonth': '', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Joint President - Commercial'}"
8,NA,Sanjay,,Mehta,,"{'startYear': '2023', 'startMonth': '', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - Procurement & Corporate Affairs'}"
9,NA,M.,M.,Rathi,,"{'startYear': '2022', 'startMonth': '', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Joint President - Power Management'}"
10,2024,Vinod,Kumar,Chaturvedi,,"{'startYear': '2024', 'startMonth': '', 'startDay': '', 'iD1': 'CHO', 'abbr1': 'Chief HR', 'iD2': '', 'abbr2': '', 'Value': 'Chief Human Resources Officer'}"
