displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,222.20,,,2024,Annual
Cash Equivalents ,CashEquivalents,40.16,,,2024,Annual
Short Term Investments ,ShortTermInvestments,5278.55,,,2024,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,5540.91,,,2024,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,1393.07,,,2024,Annual
Total Receivables Net ,TotalReceivablesNet,2657.91,,,2024,Annual
Total Inventory ,TotalInventory,3707.50,,,2024,Annual
Prepaid Expenses ,PrepaidExpenses,30.53,,,2024,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,275.36,,,2024,Annual
Total Current Assets ,TotalCurrentAssets,12212.21,,,2024,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,23540.66,,,2024,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-12143.53,,,2024,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,11397.13,,,2024,Annual
Intangibles Net ,IntangiblesNet,123.45,,,2024,Annual
Long Term Investments ,LongTermInvestments,2291.79,,,2024,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,1147.08,,,2024,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,781.81,,,2024,Annual
Total Assets ,TotalAssets,27953.47,,,2024,Annual
Accounts Payable ,AccountsPayable,1214.23,,,2024,Annual
Accrued Expenses ,AccruedExpenses,498.93,,,2024,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,475.92,,,2024,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,324.90,,,2024,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,3613.85,,,2024,Annual
Total Current Liabilities ,TotalCurrentLiabilities,6127.83,,,2024,Annual
Long Term Debt ,LongTermDebt,713.08,,,2024,Annual
Capital Lease Obligations ,CapitalLeaseObligations,141.65,,,2024,Annual
Total Long Term Debt ,TotalLongTermDebt,854.73,,,2024,Annual
Total Debt ,TotalDebt,1655.55,,,2024,Annual
Deferred Income Tax ,DeferredIncomeTax,28.88,,,2024,Annual
Minority Interest ,MinorityInterest,41.12,,,2024,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,197.99,,,2024,Annual
Total Liabilities ,TotalLiabilities,7250.55,,,2024,Annual
Common Stock Total ,CommonStockTotal,36.08,,,2024,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,2408.63,,,2024,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),17770.05,,,2024,Annual
Other Equity Total ,OtherEquityTotal,488.16,,,2024,Annual
Total Equity ,TotalEquity,20702.92,,,2024,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,27953.47,,,2024,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,3.61,,,2024,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,5703.73,,,2024,Annual
period Length ,periodLength,0.00,,,2024,Annual
