displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,293.58,,,2025,Annual
Short Term Investments ,ShortTermInvestments,6596.48,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,6890.06,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,1401.46,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,1404.59,,,2025,Annual
Total Inventory ,TotalInventory,2443.64,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,1364.06,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,12102.35,,,2025,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,3796.22,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,13017.70,,,2025,Annual
Intangibles Net ,IntangiblesNet,93.24,,,2025,Annual
Long Term Investments ,LongTermInvestments,1540.82,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,305.70,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,1431.95,,,2025,Annual
Total Assets ,TotalAssets,28491.76,,,2025,Annual
Accounts Payable ,AccountsPayable,1361.03,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,135.23,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,4259.87,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,5756.13,,,2025,Annual
Long Term Debt ,LongTermDebt,726.60,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,184.30,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,910.90,,,2025,Annual
Total Debt ,TotalDebt,1046.13,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,27.45,,,2025,Annual
Minority Interest ,MinorityInterest,40.77,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,218.76,,,2025,Annual
Total Liabilities ,TotalLiabilities,6954.01,,,2025,Annual
Common Stock Total ,CommonStockTotal,36.08,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),21501.67,,,2025,Annual
Total Equity ,TotalEquity,21537.75,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,28491.76,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,3.61,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,5943.48,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
