displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,1495.04,,,2023,Annual
Depreciation/ Depletion ,Depreciation/Depletion,1660.67,,,2023,Annual
Non- Cash Items ,Non-CashItems,-202.17,,,2023,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-384.80,,,2023,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,2568.74,,,2023,Annual
Capital Expenditures ,CapitalExpenditures,-3314.45,,,2023,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,899.96,,,2023,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-2414.49,,,2023,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-259.42,,,2023,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-324.52,,,2023,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,307.23,,,2023,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-276.71,,,2023,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,9.10,,,2023,Annual
Net Changein Cash ,NetChangeinCash,-113.36,,,2023,Annual
Cash Interest Paid ,CashInterestPaid,258.55,,,2023,Annual
Cash Taxes Paid ,CashTaxesPaid,333.21,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
