displayName,key,value
Net Interest coverage - most recent fiscal year,netInterestCoverageMostRecentFiscalYear,4.52
"Current EV/Free Cash Flow, LTM",currentEVPerFreeCashFlowLTM,
Free Cash Flow - trailing 12 month,freeCashFlowtrailing12Month,4357.40
Total debt/total equity - most recent quarter,totalDebtPerTotalEquityMostRecentQuarter,0.05
Free Cash Flow - most recent fiscal year,freeCashFlowMostRecentFiscalYear,4357.40
LT debt/equity - most recent fiscal year,ltDebtPerEquityMostRecentFiscalYear),0.04
Quick ratio - most recent fiscal year,quickRatioMostRecentFiscalYear,1.68
Quick ratio - most recent quarter,quickRatioMostRecentQuarter,1.68
Payout ratio - trailing 12 month,payoutRatioTrailing12Month,19.28
Current ratio - most recent fiscal year,currentRatioMostRecentFiscalYear,2.10
"Current EV/Free Cash Flow, LFY",currentEVPerFreeCashFlowLFY,
LT debt/equity - most recent quarter,lTDebtPerEquityMostRecentQuarter,0.04
Total debt/total equity - most recent fiscal year,totalDebtPerTotalEquityMostRecentFiscalYear,0.05
Net Interest coverage - trailing 12 month,netInterestCoverageTrailing12Month,4.52
Current ratio - most recent quarter,currentRatioMostRecentQuarter,2.10
Payout ratio - most recent fiscal year,payoutRatioMostRecentFiscalYear,35.35
