displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,-53.13
"Revenue growth rate, 5 year",revenueGrowthRate5Year,8.42
"EPS growth rate, 5 year",ePSGrowthRate5Year,-6.49
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,1.83
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,34.71
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,-21.62
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),7.94
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,-24.70
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,10.33
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,0.91
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,21.59
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,-5.90
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,8.71
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,10.34
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),-14.90
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,-13.45
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,0.90
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,-20.30
