Date,Price on NSE
2024-06-06,25636.25
2024-06-07,26077.5
2024-06-10,27239.7
2024-06-11,27063.85
2024-06-12,27538.9
2024-06-13,27490.75
2024-06-14,27538.0
2024-06-18,27462.1
2024-06-19,27443.4
2024-06-20,27698.45
2024-06-21,27403.8
2024-06-24,27318.8
2024-06-25,27217.55
2024-06-26,27498.9
2024-06-27,27832.45
2024-06-28,27870.4
2024-07-01,28353.35
2024-07-02,27697.75
2024-07-03,27383.9
2024-07-04,27459.05
2024-07-05,27528.7
2024-07-08,27193.25
2024-07-09,27776.3
2024-07-10,27905.45
2024-07-11,27772.6
2024-07-12,27665.5
2024-07-15,27616.85
2024-07-16,27906.8
2024-07-18,28061.6
2024-07-19,27284.15
2024-07-22,27919.8
2024-07-23,28162.2
2024-07-24,27552.0
2024-07-25,27484.35
2024-07-26,27566.75
2024-07-29,27237.9
2024-07-30,27314.35
2024-07-31,27740.45
2024-08-01,27768.5
2024-08-02,27295.35
2024-08-05,26834.8
2024-08-06,26101.35
2024-08-07,25098.6
2024-08-08,24143.4
2024-08-09,24296.6
2024-08-12,24408.35
2024-08-13,24205.95
2024-08-14,24338.95
2024-08-16,24642.85
2024-08-19,24848.95
2024-08-20,24730.55
2024-08-21,24808.05
2024-08-22,25012.4
2024-08-23,24706.05
2024-08-26,24906.45
2024-08-27,24813.2
2024-08-28,24692.2
2024-08-29,24821.35
2024-08-30,25482.0
2024-09-02,25427.3
2024-09-03,25507.6
2024-09-04,25770.75
2024-09-05,25662.25
2024-09-06,25610.45
2024-09-09,25798.6
2024-09-10,25725.15
2024-09-11,25614.1
2024-09-12,26019.65
2024-09-13,25883.1
2024-09-16,25619.4
2024-09-17,25437.1
2024-09-18,25076.65
2024-09-19,24931.7
2024-09-20,25141.7
2024-09-23,25958.1
2024-09-24,25911.65
2024-09-25,25903.65
2024-09-26,26123.1
2024-09-27,26247.9
2024-09-30,26308.9
2024-10-01,26523.25
2024-10-03,26259.2
2024-10-04,26034.2
2024-10-07,25376.45
2024-10-08,25582.9
2024-10-09,24975.05
2024-10-10,24641.8
2024-10-11,24337.05
2024-10-14,24572.2
2024-10-15,24718.5
2024-10-16,24439.55
2024-10-17,24245.1
2024-10-18,24325.25
2024-10-21,24297.75
2024-10-22,24434.4
2024-10-23,24710.25
2024-10-24,25065.3
2024-10-25,24956.8
2024-10-28,25056.15
2024-10-29,25331.75
2024-10-30,25351.35
2024-10-31,25072.15
2024-11-01,25241.05
2024-11-04,24865.3
2024-11-05,24695.9
2024-11-06,25009.15
2024-11-07,24778.65
2024-11-08,24533.0
2024-11-11,24418.25
2024-11-12,24372.8
2024-11-13,24049.2
2024-11-14,24091.7
2024-11-18,23935.05
2024-11-19,24106.35
2024-11-21,24052.85
2024-11-22,24794.75
2024-11-25,25467.3
2024-11-26,24980.65
2024-11-27,25421.85
2024-11-28,25545.6
2024-11-29,26076.45
2024-12-02,26784.0
2024-12-03,27159.35
2024-12-04,27403.9
2024-12-05,26608.0
2024-12-06,27076.65
2024-12-09,26711.25
2024-12-10,27119.3
2024-12-11,27305.5
2024-12-12,27228.75
2024-12-13,27591.45
2024-12-16,28091.25
2024-12-17,28352.2
2024-12-18,27908.8
2024-12-19,27617.1
2024-12-20,27063.5
2024-12-23,27199.9
2024-12-24,26707.7
2024-12-26,26342.7
2024-12-27,26049.0
2024-12-30,25790.35
2024-12-31,25694.2
2025-01-01,25504.25
2025-01-02,26689.9
2025-01-03,26096.25
2025-01-06,25908.6
2025-01-07,26003.9
2025-01-08,26027.45
2025-01-09,25961.8
2025-01-10,25738.3
2025-01-13,24874.5
