id,headline,intro,byline,date,timeToRead,premiumStory,section,keywords,url,thumbnailimage,listimage,smallimage,bigimage,imagecaption,image_621x414,image_222x148,sliderimages,slidervideos,interactives,body
11748499134480,"Mazagon Dock, Indian Hotels, Solar Industries shares among likely large-cap entrants in AMFI stock re-categorization","Indian Hotels Company, Mazagon Dock Shipbuilders, Max Healthcare Institute, Solar Industries India, Shree Cements, Mankind Pharma, Apollo Hospitals Enterprises, Union Bank of India, Lupin Ltd, among others are likely to be upgraded to large-cap status.",Ankit Gohel,"Thu, 29 May 2025 11:53 AM IST IST",3,false,Markets,,https://www.livemint.com/market/stock-market-news/mazagon-dock-indian-hotels-solar-industries-shares-among-likely-large-cap-entrants-in-amfi-stock-recategorization-11748499134480.html,https://www.livemint.com/lm-img/img/2025/05/29/90x90/investment_1731737985428_1748499733898.PNG,https://www.livemint.com/lm-img/img/2025/05/29/90x90/investment_1731737985428_1748499733898.PNG,https://www.livemint.com/lm-img/img/2025/05/29/90x90/investment_1731737985428_1748499733898.PNG,https://www.livemint.com/lm-img/img/2025/05/29/600x338/investment_1731737985428_1748499733898.PNG,"AMFI in consultation with SEBI and Stock Exchanges, prepares the list of stocks with categorization based on the market capitalization provided by BSE, NSE and MSEI. ",https://www.livemint.com/lm-img/img/2025/05/29/600x338/investment_1731737985428_1748499733898.PNG,https://www.livemint.com/lm-img/img/2025/05/29/600x338/investment_1731737985428_1748499733898.PNG,[],[],[],
11747296679982,"For Shree Cement, earnings a bigger priority than volumes",Can Shree Cement retain its edge on margins without sacrificing growth. Defending profitability in a market bracing for new supply won?t be easy.,,"Thu, 15 May 2025 18:12 PM IST IST",2,true,Markets,,https://www.livemint.com/market/mark-to-market/shree-cement-share-price-shree-cement-q4-result-average-cement-realization-renewable-energy-capacity-11747296679982.html,https://www.livemint.com/lm-img/img/2025/05/15/90x90/pexels-photo-2219024_1744622294029_1747297569550.jpeg,https://www.livemint.com/lm-img/img/2025/05/15/90x90/pexels-photo-2219024_1744622294029_1747297569550.jpeg,https://www.livemint.com/lm-img/img/2025/05/15/90x90/pexels-photo-2219024_1744622294029_1747297569550.jpeg,https://www.livemint.com/lm-img/img/2025/05/15/600x338/pexels-photo-2219024_1744622294029_1747297569550.jpeg,Shree Cement continued to deliver industry-leading blended profitability.  (Pexel Photo),https://www.livemint.com/lm-img/img/2025/05/15/600x338/pexels-photo-2219024_1744622294029_1747297569550.jpeg,https://www.livemint.com/lm-img/img/2025/05/15/600x338/pexels-photo-2219024_1744622294029_1747297569550.jpeg,[],[],[{'interactiveurl': 'http:https://datawrapper.dwcdn.net/cWrdb/full.png'}],
11747282926598,"Shree Cement share price climbs 4% to hit a 52-week high after Q4 results; should investors buy, sell or hold?","Shree Cement's share price rose 4% to a 52-week high of  ?31,865.20 on May 15, following its Q4FY25 results. The stock opened at  ?31,099.45 and peaked at  ?31,865.20 before trading at  ?31,695 around 10 AM.",Nishant Kumar,"Thu, 15 May 2025 10:30 AM IST IST",2,false,Markets,,https://www.livemint.com/market/stock-market-news/shree-cement-share-price-climbs-over-3-to-hit-a-52-week-high-after-q4-results-2025-should-investors-buy-sell-or-hold-11747282926598.html,https://www.livemint.com/lm-img/img/2025/05/15/90x90/investment_1731737985428_1747283087557.PNG,https://www.livemint.com/lm-img/img/2025/05/15/90x90/investment_1731737985428_1747283087557.PNG,https://www.livemint.com/lm-img/img/2025/05/15/90x90/investment_1731737985428_1747283087557.PNG,https://www.livemint.com/lm-img/img/2025/05/15/600x338/investment_1731737985428_1747283087557.PNG,Shree Cement share price climbed over 3% to hit a 52-week high after Q4 results.,https://www.livemint.com/lm-img/img/2025/05/15/600x338/investment_1731737985428_1747283087557.PNG,https://www.livemint.com/lm-img/img/2025/05/15/600x338/investment_1731737985428_1747283087557.PNG,[],[],[],
11747214862446,"Shree Cement Q4 results: Net profit falls 16% to  ?556 crore, declares dividend of  ?60","Shree Cement Q4 results: The company reported standalone net profit of  ?556 crore for the period, marking a 16 per cent drop compared to  ?662 crore same period a year ago.",Vaamanaa Sethi,"Wed, 14 May 2025 15:27 PM IST IST",1,false,Markets,,https://www.livemint.com/market/stock-market-news/shree-cements-q4-results-net-profit-falls-16-to-556-crore-revenue-at-5-240-crore-11747214862446.html,https://www.livemint.com/lm-img/img/2025/05/14/90x90/Shree_Cement_1747215496089_1747215496302.jpg,https://www.livemint.com/lm-img/img/2025/05/14/90x90/Shree_Cement_1747215496089_1747215496302.jpg,https://www.livemint.com/lm-img/img/2025/05/14/90x90/Shree_Cement_1747215496089_1747215496302.jpg,https://www.livemint.com/lm-img/img/2025/05/14/600x338/Shree_Cement_1747215496089_1747215496302.jpg,"Shree Cements Q4 results: Net profit falls 16% to  ?556 crore, revenue at  ?5,240 crore.",https://www.livemint.com/lm-img/img/2025/05/14/600x338/Shree_Cement_1747215496089_1747215496302.jpg,https://www.livemint.com/lm-img/img/2025/05/14/600x338/Shree_Cement_1747215496089_1747215496302.jpg,[],[],[],
11747184968203,"Q4 results today: Tata Power, Eicher Motors, Lupin, Shree Cements, Muthoot Finance, Apollo Tyres, and more on May 14","Eicher Motors, Tata Power, Lupin, Apollo Tyres, Muthoot Finance, Jubilant Foodworks, Shree Cements, Sagility, and Berger Paints India are among 116 companies that will release their Q4 results on May 14 today.",Jocelyn Fernandes,"Wed, 14 May 2025 07:02 AM IST IST",1,false,Markets,,https://www.livemint.com/market/stock-market-news/q4-results-today-may-14-tata-power-eicher-motors-lupin-shree-cements-muthoot-finance-apollo-tyres-berger-paints-jubilant-11747184968203.html,https://www.livemint.com/lm-img/img/2025/05/14/90x90/Q4_results_today_May_14_Tata_Power_Eicher_Motors_1747185670934_1747185671246.jpg,https://www.livemint.com/lm-img/img/2025/05/14/90x90/Q4_results_today_May_14_Tata_Power_Eicher_Motors_1747185670934_1747185671246.jpg,https://www.livemint.com/lm-img/img/2025/05/14/90x90/Q4_results_today_May_14_Tata_Power_Eicher_Motors_1747185670934_1747185671246.jpg,https://www.livemint.com/lm-img/img/2025/05/14/600x338/Q4_results_today_May_14_Tata_Power_Eicher_Motors_1747185670934_1747185671246.jpg,"Q4 results today, on May 14: Eicher Motors, Tata Power, Lupin, Apollo Tyres, Muthoot Finance, Jubilant Foodworks, Shree Cements, Sagility, and Berger Paints India are among 116 companies that will release their Q4FY25 earnings.       ",https://www.livemint.com/lm-img/img/2025/05/14/600x338/Q4_results_today_May_14_Tata_Power_Eicher_Motors_1747185670934_1747185671246.jpg,https://www.livemint.com/lm-img/img/2025/05/14/600x338/Q4_results_today_May_14_Tata_Power_Eicher_Motors_1747185670934_1747185671246.jpg,[],[],[],
11745723214350,Stocks to buy under  ?100: Sumeet Bagadia recommends three stocks to buy on Monday - 28 April 2025,"Regarding stocks to buy under  ?100, Sumeet Bagadia recommended buying these three shares: Shree Digvijay Cement Co, Restaurant Brands Asia, and Lotus Eye Hospital and Institute.",Vaamanaa Sethi,"Sun, 27 Apr 2025 09:16 AM IST IST",1,false,Markets,,https://www.livemint.com/market/stock-market-news/stocks-to-buy-under-100-sumeet-bagadia-recommends-three-stocks-to-buy-on-monday-28-april-2025-11745723214350.html,https://www.livemint.com/lm-img/img/2025/04/27/90x90/Sumeet_Bagadia_Choice_Broking_1680942463906_1745724512047.jpg,https://www.livemint.com/lm-img/img/2025/04/27/90x90/Sumeet_Bagadia_Choice_Broking_1680942463906_1745724512047.jpg,https://www.livemint.com/lm-img/img/2025/04/27/90x90/Sumeet_Bagadia_Choice_Broking_1680942463906_1745724512047.jpg,https://www.livemint.com/lm-img/img/2025/04/27/600x338/Sumeet_Bagadia_Choice_Broking_1680942463906_1745724512047.jpg,"Stock market next week: Sumeet Bagadia, Executive Director at Choice Broking, believes that the Indian stock market sentiment is cautious as the Nifty 50 index has closed below 200-DEMA of 24,050.",https://www.livemint.com/lm-img/img/2025/04/27/600x338/Sumeet_Bagadia_Choice_Broking_1680942463906_1745724512047.jpg,https://www.livemint.com/lm-img/img/2025/04/27/600x338/Sumeet_Bagadia_Choice_Broking_1680942463906_1745724512047.jpg,[],[],[],
11744778933208,"Stock Picks: Sagar Doshi of Nuvama suggests buying IRCTC, Jubilant FoodWorks, Shree Cement today - 16 April 2025","Stock Picks: Sagar Doshi of Nuvama Professional Clients Group recommends these three stocks today - Indian Railway Catering and Tourism Corporation Ltd (IRCTC), Jubilant FoodWorks Ltd, and Shree Cement Ltd.",Dhanya Nagasundaram,"Wed, 16 Apr 2025 11:33 AM IST IST",4,false,Markets,,https://www.livemint.com/market/stock-market-news/stock-picks-sagar-doshi-of-nuvama-suggests-buying-irctc-jubilant-foodworks-shree-cement-today-16-april-2025-11744778933208.html,https://www.livemint.com/lm-img/img/2025/04/16/90x90/Sagar_Doshi_1712683612776_1744782811476.jpg,https://www.livemint.com/lm-img/img/2025/04/16/90x90/Sagar_Doshi_1712683612776_1744782811476.jpg,https://www.livemint.com/lm-img/img/2025/04/16/90x90/Sagar_Doshi_1712683612776_1744782811476.jpg,https://www.livemint.com/lm-img/img/2025/04/16/600x338/Sagar_Doshi_1712683612776_1744782811476.jpg,"Stock Picks: Sagar Doshi of Nuvama Professional Clients Group recommends these three stocks today - Indian Railway Catering and Tourism Corporation Ltd (IRCTC), Jubilant FoodWorks Ltd, and Shree Cement Ltd.",https://www.livemint.com/lm-img/img/2025/04/16/600x338/Sagar_Doshi_1712683612776_1744782811476.jpg,https://www.livemint.com/lm-img/img/2025/04/16/600x338/Sagar_Doshi_1712683612776_1744782811476.jpg,[],[],[],
11743241876049,"Ambuja Cements, Fortis, BOB, among 5 stocks to Buy for April by Bonanza group","Stocks to Buy for April : As we enter new fiscal year 2026, 5 stocks to buy include Fortis Healthcare, BOB, Ambuja Cements, NHPC, Shree Cement that have been recommended by Kunal Kamble, Sr. Technical Research Analyst at Bonanza Group&nbsp;",Ujjval Jauhari,"Sat, 29 Mar 2025 16:24 PM IST IST",2,false,Markets,,https://www.livemint.com/market/stock-market-news/ambuja-cements-fortis-bob-among-5-stocks-to-buy-for-april-by-bonanza-group-11743241876049.html,https://www.livemint.com/lm-img/img/2025/03/29/90x90/2-0-1402373409-bse--1---1--0_1679756950206_1743244092214.jpg,https://www.livemint.com/lm-img/img/2025/03/29/90x90/2-0-1402373409-bse--1---1--0_1679756950206_1743244092214.jpg,https://www.livemint.com/lm-img/img/2025/03/29/90x90/2-0-1402373409-bse--1---1--0_1679756950206_1743244092214.jpg,https://www.livemint.com/lm-img/img/2025/03/29/600x338/2-0-1402373409-bse--1---1--0_1679756950206_1743244092214.jpg,Stocks to Buy for April - 5 stock recommendation for Long term ,https://www.livemint.com/lm-img/img/2025/03/29/600x338/2-0-1402373409-bse--1---1--0_1679756950206_1743244092214.jpg,https://www.livemint.com/lm-img/img/2025/03/29/600x338/2-0-1402373409-bse--1---1--0_1679756950206_1743244092214.jpg,[],[],[],
11743143108170,"Shree Cement share price hits 52-week high, surges 4% after Nomura upgrades stock to ?buy?; Do you own?",Shree Cement stock has gained nearly 5.34 per cent in past five trading sessions and has risen over 12.67 per cent in over a month.,Vaamanaa Sethi,"Fri, 28 Mar 2025 13:01 PM IST IST",2,false,Markets,,https://www.livemint.com/market/stock-market-news/shree-cement-share-price-hits-52-week-high-surges-4-after-nomura-upgrades-stock-to-buy-do-you-own-11743143108170.html,https://www.livemint.com/lm-img/img/2025/03/28/90x90/stock_1743146883492_1743146883794.jpg,https://www.livemint.com/lm-img/img/2025/03/28/90x90/stock_1743146883492_1743146883794.jpg,https://www.livemint.com/lm-img/img/2025/03/28/90x90/stock_1743146883492_1743146883794.jpg,https://www.livemint.com/lm-img/img/2025/03/28/600x338/stock_1743146883492_1743146883794.jpg,"Shree Cement share price hits 52-week high, surges 4% after Nomura upgrades to ?buy?.",https://www.livemint.com/lm-img/img/2025/03/28/600x338/stock_1743146883492_1743146883794.jpg,https://www.livemint.com/lm-img/img/2025/03/28/600x338/stock_1743146883492_1743146883794.jpg,[],[],[],
11739421069030,"Stock market today: Kotak Mahindra Bank, Muthoot Finance ? 54 stocks hit 52-week highs on BSE","Stock market today: On February 13, 54 stocks, including Kotak Mahindra Bank, SBI Cards, Shree Cement and Muthoot Finance, reached their 52-week highs in the first hour of trading.",Nishant Kumar,"Thu, 13 Feb 2025 16:04 PM IST IST",1,false,Markets,,https://www.livemint.com/market/stock-market-news/stock-market-today-kotak-mahindra-bank-muthoot-finance-20-stocks-hit-52-week-highs-within-first-hour-of-opening-bell-11739421069030.html,https://www.livemint.com/lm-img/img/2025/02/13/90x90/gd7575fd83fbc891b7e32b3505d0518357e4f0d30df739eb6c_1735018932008_1739421446729.jpg,https://www.livemint.com/lm-img/img/2025/02/13/90x90/gd7575fd83fbc891b7e32b3505d0518357e4f0d30df739eb6c_1735018932008_1739421446729.jpg,https://www.livemint.com/lm-img/img/2025/02/13/90x90/gd7575fd83fbc891b7e32b3505d0518357e4f0d30df739eb6c_1735018932008_1739421446729.jpg,https://www.livemint.com/lm-img/img/2025/02/13/600x338/gd7575fd83fbc891b7e32b3505d0518357e4f0d30df739eb6c_1735018932008_1739421446729.jpg,"Stock market today: Kotak Mahindra Bank, Muthoot Finance and SBI Card were among over 54 stocks that hit 52-week highs on Thursday.",https://www.livemint.com/lm-img/img/2025/02/13/600x338/gd7575fd83fbc891b7e32b3505d0518357e4f0d30df739eb6c_1735018932008_1739421446729.jpg,https://www.livemint.com/lm-img/img/2025/02/13/600x338/gd7575fd83fbc891b7e32b3505d0518357e4f0d30df739eb6c_1735018932008_1739421446729.jpg,[],[],[],
