displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,11331.62,,,2025,Annual
Short Term Investments ,ShortTermInvestments,15396.76,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,26728.38,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,13046.11,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,13094.49,,,2025,Annual
Total Inventory ,TotalInventory,10243.33,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,2527.86,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,52594.06,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,11270.28,,,2025,Annual
Goodwill Net ,GoodwillNet,8939.42,,,2025,Annual
Intangibles Net ,IntangiblesNet,9020.54,,,2025,Annual
Long Term Investments ,LongTermInvestments,4874.74,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,423.46,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,4978.08,,,2025,Annual
Total Assets ,TotalAssets,92100.58,,,2025,Annual
Accounts Payable ,AccountsPayable,6184.34,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,2003.93,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,10005.94,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,18194.21,,,2025,Annual
Long Term Debt ,LongTermDebt,2.52,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,355.74,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,358.26,,,2025,Annual
Total Debt ,TotalDebt,2362.19,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,201.20,,,2025,Annual
Minority Interest ,MinorityInterest,267.93,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,860.96,,,2025,Annual
Total Liabilities ,TotalLiabilities,19882.56,,,2025,Annual
Common Stock Total ,CommonStockTotal,239.93,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),71978.09,,,2025,Annual
Total Equity ,TotalEquity,72218.02,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,92100.58,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,239.93,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,226.14,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
