displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,13752.13,,,2025,Annual
Depreciation/ Depletion ,Depreciation/Depletion,2575.39,,,2025,Annual
Non- Cash Items ,Non-CashItems,-1455.03,,,2025,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-800.43,,,2025,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,14072.06,,,2025,Annual
Capital Expenditures ,CapitalExpenditures,-2128.58,,,2025,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-3177.58,,,2025,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-5306.16,,,2025,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-3127,,,2025,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-3613.97,,,2025,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-1164.85,,,2025,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-7905.82,,,2025,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,123.04,,,2025,Annual
Net Changein Cash ,NetChangeinCash,983.12,,,2025,Annual
Cash Interest Paid ,CashInterestPaid,223.82,,,2025,Annual
Cash Taxes Paid ,CashTaxesPaid,476.84,,,2025,Annual
period Length ,periodLength,12,,,2025,Annual
period Type ,periodType,Months,,,2025,Annual
