displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,12652.75,,,2025,Interim
Total Revenue ,TotalRevenue,12652.75,,,2025,Interim
Costof Revenue Total ,CostofRevenueTotal,2675.43,,,2025,Interim
Gross Profit ,GrossProfit,9977.32,,,2025,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,2454.62,,,2025,Interim
Depreciation/ Amortization ,Depreciation/Amortization,655.13,,,2025,Interim
Unusual Expense( Income) ,UnusualExpense(Income),0.00,,,2025,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,3864.63,,,2025,Interim
Total Operating Expense ,TotalOperatingExpense,9649.81,,,2025,Interim
Operating Income ,OperatingIncome,3002.94,,,2025,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-111.99,,,2025,Interim
Other Net ,OtherNet,532.55,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,3423.50,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,552.25,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,2871.25,,,2025,Interim
Minority Interest ,MinorityInterest,-24.89,,,2025,Interim
Equity In Affiliates ,EquityInAffiliates,-10.74,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,2835.62,,,2025,Interim
Net Income ,NetIncome,2835.62,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,2835.62,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,2835.62,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,2835.62,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,240.31,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,11.80,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,11.80,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
