displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,137521.30
Revenue - trailing 12 month,revenueTrailing12Month),525784.40
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,113065.20
EBITD - trailing 12 month,eBITDTrailing12Month,150861.60
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,113065.20
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,49.47
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,525784.40
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,118663.40
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,137521.30
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,144299.80
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,150861.60
