displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,13.02
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,16.38
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,12.79
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,4.32
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,16.38
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,12.79
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,1.05
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),1.07
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,9.19
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,16.64
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,4.33
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,0.59
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,0.59
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),16.64
Return on investment - 5 year average,returnOnInvestment5YearAverage,12.51
