displayName,key,value
Dividend Per Share - 5 year average,dividendperShare5YearAverage,11.70
Cash Flow per share  - trailing 12 month,cashFlowPerShareTrailing12Month,58.14
Free Cash Flow per share - trailing 12 month,freeCashFlowpersharetrailing12month,
Cash Flow per share - most recent fiscal year,cashflowPerShareMostRecentFiscalYear,58.13
Book value (tangible) per share - most recent quarter,bookValueTangibleperSharemostRecentQuarter,226.14
Cash per share - most recent quarter,cashPerShareMostRecentQuarter,111.40
EPS including extraordinary items - trailing 12 month,ePSIncludingExtraOrdinaryItemsTrailing12Month,45.60
EPS including extraordinary items - most recent fiscal year,ePSIncludingExtraordinaryItemsMostRecentFiscalYear,45.60
EBITD per share - trailing 12 month,eBITDPerShareTrailing12Month,62.96
Revenue/share - trailing 12 month,rRevenuePerShareTrailing12onth,219.42
EPS excluding extraordinary items - trailing 12 month,eEPSExcludingExtraordinaryIitemsTrailing12onth,47.18
EPS Basic excluding extraordinary items - most recent fiscal year,ePSBasicExcludingExtraordinaryItemsMostRecentFiscalYear,47.17
EPS Basic excluding extraordinary items - trailing 12 month,ePSBasicExcludingExtraordinaryItemsItrailing12Month,47.18
Book value per share - most recent fiscal year,bookValuePerShare MostRecentFiscalYear,300.99
Book value per share - most recent quarter,bookValuePerShareMostRecentQuarter,300.99
Dividend per share - most recent fiscal year,dividendPerShare MostRecentFiscalYear,16.00
Revenue/share - most recent fiscal year,revenuePerShareMostRecentFiscalYear,219.38
EPS Normalized - most recent fiscal year,ePSNormalizedMostRecentFiscalYear,49.51
Book value (tangible) per share - most recent fiscal year,bookValuePerShareMostRecentFiscalYear,226.14
Dividends per share - trailing 12 month,dividendsPerShareTrailing12Month,16.00
EPS excluding extraordinary items - most recent fiscal year,eEPSExcludingExtraordinaryItemsMmostRecentFiscal yea,47.17
Cash per share - most recent fiscal year,cashPerShareMostRecentFiscalYear,111.40
