id,headline,intro,byline,date,timeToRead,premiumStory,section,keywords,url,thumbnailimage,listimage,smallimage,bigimage,imagecaption,image_621x414,image_222x148,sliderimages,slidervideos,interactives,body
11748222431199,"Q4 results today: GIC, Aurobindo Pharma, Sumitomo Chemical, Nazara Tech, Sundaram Finance &amp; Vadilal Industries on May 26","Q4 results on May 26: GIC, Vadilal Industries, Aurobindo Pharma, Sumitomo Chemical, Nazara Technologies, and Blue Dart are among 205 companies to release their earnings report today.",Jocelyn Fernandes,"Mon, 26 May 2025 07:13 AM IST IST",1,false,Markets,,https://www.livemint.com/market/stock-market-news/q4-results-today-may-26-gic-aurobindo-pharma-sumimoto-chemical-nazara-tech-sundaram-finance-bayer-cropscience-earnings-11748222431199.html,https://www.livemint.com/lm-img/img/2025/05/26/90x90/q4_result_earning_market_stock_May_26_GIC_Sumimoto_1748223053614_1748223053903.jpeg,https://www.livemint.com/lm-img/img/2025/05/26/90x90/q4_result_earning_market_stock_May_26_GIC_Sumimoto_1748223053614_1748223053903.jpeg,https://www.livemint.com/lm-img/img/2025/05/26/90x90/q4_result_earning_market_stock_May_26_GIC_Sumimoto_1748223053614_1748223053903.jpeg,https://www.livemint.com/lm-img/img/2025/05/26/600x338/q4_result_earning_market_stock_May_26_GIC_Sumimoto_1748223053614_1748223053903.jpeg,"Q4 results on May 26: GIC, Aurobindo Pharma, Sundaram Finance, Sumitomo Chemical, Bayer Cropscience, Nazara Technologies, Gillette, and Blue Dart are among 205 companies to release their earnings report today.                           ",https://www.livemint.com/lm-img/img/2025/05/26/600x338/q4_result_earning_market_stock_May_26_GIC_Sumimoto_1748223053614_1748223053903.jpeg,https://www.livemint.com/lm-img/img/2025/05/26/600x338/q4_result_earning_market_stock_May_26_GIC_Sumimoto_1748223053614_1748223053903.jpeg,[],[],[],
11747972452393,"Sun Pharma share price falls over 4% after Q4 results. Should you buy, hold or sell?","Sun Pharma share price has fallen over 7% in one month and more than 12% YTD. However, over the past one year, Sun Pharma shares have rallied 11% and have jumped 80% in three years. The pharma stock has delivered multibagger returns of 254% in the past five years.",Ankit Gohel,"Fri, 23 May 2025 09:46 AM IST IST",2,false,Markets,,https://www.livemint.com/market/stock-market-news/sun-pharma-share-price-falls-over-4-after-q4-results-should-you-buy-hold-or-sell-11747972452393.html,https://www.livemint.com/lm-img/img/2025/05/23/90x90/sunpharma2-kUQnt_1747972607749_1747972607960.JPG,https://www.livemint.com/lm-img/img/2025/05/23/90x90/sunpharma2-kUQnt_1747972607749_1747972607960.JPG,https://www.livemint.com/lm-img/img/2025/05/23/90x90/sunpharma2-kUQnt_1747972607749_1747972607960.JPG,https://www.livemint.com/lm-img/img/2025/05/23/600x338/sunpharma2-kUQnt_1747972607749_1747972607960.JPG,Sun Pharma share price has delivered multibagger returns of 254% in the past five years.,https://www.livemint.com/lm-img/img/2025/05/23/600x338/sunpharma2-kUQnt_1747972607749_1747972607960.JPG,https://www.livemint.com/lm-img/img/2025/05/23/600x338/sunpharma2-kUQnt_1747972607749_1747972607960.JPG,[],[],[],
11747925063970,Sun Pharma to ramp up growth-boosting specialty portfolio in FY26,The company projects revenue growth of mid- to high single digits in FY26 compared with an 8.5% increase in FY25,Jessica Jani,"Thu, 22 May 2025 22:03 PM IST IST",2,false,Companies,,https://www.livemint.com/companies/sun-pharma-q4-fy25-results-earnings-fy26-specialty-products-growth-dilip-shanghvi-11747925063970.html,https://www.livemint.com/lm-img/img/2025/05/22/90x90/2-0-552941332-sun-pharma2-0_1680276095831_1747930471738.JPG,https://www.livemint.com/lm-img/img/2025/05/22/90x90/2-0-552941332-sun-pharma2-0_1680276095831_1747930471738.JPG,https://www.livemint.com/lm-img/img/2025/05/22/90x90/2-0-552941332-sun-pharma2-0_1680276095831_1747930471738.JPG,https://www.livemint.com/lm-img/img/2025/05/22/600x338/2-0-552941332-sun-pharma2-0_1680276095831_1747930471738.JPG,Sun Pharmaceutical plans to invest an additional $100 million on the commercialization of its new specialty product pipeline in the US. (Mint),https://www.livemint.com/lm-img/img/2025/05/22/600x338/2-0-552941332-sun-pharma2-0_1680276095831_1747930471738.JPG,https://www.livemint.com/lm-img/img/2025/05/22/600x338/2-0-552941332-sun-pharma2-0_1680276095831_1747930471738.JPG,[],[],[],
11747913168699,Sun Pharma Q4 Results: Profit declines 19% YoY; declares dividend of  ?5.50,"Sun Pharma Q4 Results: Sun Pharmaceutical Industries reported a 19% YoY decline in Q4FY25 profit at  ?2,153.93 crore. However, total revenue rose 8% YoY to  ?12,958.84 crore, and EBITDA increased 22% to  ?3,716 crore.",Nishant Kumar,"Thu, 22 May 2025 17:27 PM IST IST",1,false,Markets,,https://www.livemint.com/market/stock-market-news/sun-pharma-q4-results-profit-declines-19-yoy-declares-dividend-of-550-11747913168699.html,https://www.livemint.com/lm-img/img/2025/05/22/90x90/EconomyPixabay_1683518454636_1747913574496.jpg,https://www.livemint.com/lm-img/img/2025/05/22/90x90/EconomyPixabay_1683518454636_1747913574496.jpg,https://www.livemint.com/lm-img/img/2025/05/22/90x90/EconomyPixabay_1683518454636_1747913574496.jpg,https://www.livemint.com/lm-img/img/2025/05/22/600x338/EconomyPixabay_1683518454636_1747913574496.jpg,"Sun Pharma Q4 Results: Sun Pharma's consolidated profit declined 19% YoY to  ?2,153.93 crore.",https://www.livemint.com/lm-img/img/2025/05/22/600x338/EconomyPixabay_1683518454636_1747913574496.jpg,https://www.livemint.com/lm-img/img/2025/05/22/600x338/EconomyPixabay_1683518454636_1747913574496.jpg,[],[],[],
11747892792080,"Q4 results today: ITC, Sun Pharma, GMR Airports, Grasim, Ramco Cements, Concor, Honasa, and Gujarat Petronet on May 22","Q4 results on May 22: ITC, Sun Pharma, GMR Airports, Grasim, Ramco Cements, Container Corporation of India, Gujarat State Petronet and Honasa Consumer are among 142 companies to release their earnings report today.",Jocelyn Fernandes,"Thu, 22 May 2025 11:55 AM IST IST",2,false,Markets,,https://www.livemint.com/market/stock-market-news/q4-results-today-may-22-itc-sun-pharma-gmr-airports-grasim-ramco-cements-container-corporation-india-honasa-earnings-11747892792080.html,https://www.livemint.com/lm-img/img/2025/05/22/90x90/Q4_results_May_22_today_ITC_Sun_Pharma_GMR_Grasim__1747894297695_1747894298053.JPG,https://www.livemint.com/lm-img/img/2025/05/22/90x90/Q4_results_May_22_today_ITC_Sun_Pharma_GMR_Grasim__1747894297695_1747894298053.JPG,https://www.livemint.com/lm-img/img/2025/05/22/90x90/Q4_results_May_22_today_ITC_Sun_Pharma_GMR_Grasim__1747894297695_1747894298053.JPG,https://www.livemint.com/lm-img/img/2025/05/22/600x338/Q4_results_May_22_today_ITC_Sun_Pharma_GMR_Grasim__1747894297695_1747894298053.JPG,"Q4 results on May 22: ITC, Sun Pharma, GMR Airports, Grasim, Ramco Cements, Container Corporation of India, Gujarat State Petronet and Honasa Consumer are among 142 companies to release their earnings report today.                        ",https://www.livemint.com/lm-img/img/2025/05/22/600x338/Q4_results_May_22_today_ITC_Sun_Pharma_GMR_Grasim__1747894297695_1747894298053.JPG,https://www.livemint.com/lm-img/img/2025/05/22/600x338/Q4_results_May_22_today_ITC_Sun_Pharma_GMR_Grasim__1747894297695_1747894298053.JPG,[],[],[],
11747050315407,LTIMindtree bags its largest deal from US agribusiness firm ADM,"The $450 mn deal is also the second instance of an Indian software services provider, earning between $1 bn and $5 bn in annual revenue, bagging its largest contract in less than three months.",Jas Bardia,"Tue, 13 May 2025 08:37 AM IST IST",3,true,Companies,,https://www.livemint.com/companies/news/ltimindtree-largest-deal-us-agribusiness-firm-adm-coforge-phoenix-infosys-hcl-tech-11747050315407.html,https://www.livemint.com/lm-img/img/2025/05/13/90x90/1737687957504_1747105519607_1747105524460.jpeg,https://www.livemint.com/lm-img/img/2025/05/13/90x90/1737687957504_1747105519607_1747105524460.jpeg,https://www.livemint.com/lm-img/img/2025/05/13/90x90/1737687957504_1747105519607_1747105524460.jpeg,https://www.livemint.com/lm-img/img/2025/05/13/600x338/1737687957504_1747105519607_1747105524460.jpeg,"Venu Lambu, CEO (Designate), LTIMindtree",https://www.livemint.com/lm-img/img/2025/05/13/600x338/1737687957504_1747105519607_1747105524460.jpeg,https://www.livemint.com/lm-img/img/2025/05/13/600x338/1737687957504_1747105519607_1747105524460.jpeg,[],[],[],
11746946949693,Stocks to buy or sell: Dharmesh Shah of ICICI Securities suggests buying Sun Pharma shares on 12 May 2025,Stocks to buy or sell: Dharmesh Shah of ICICI Securities recommends buying Sun Pharmaceutical Industries shares.,Dhanya Nagasundaram,"Sun, 11 May 2025 13:11 PM IST IST",3,false,Markets,,https://www.livemint.com/market/stock-market-news/stocks-to-buy-or-sell-dharmesh-shah-of-icici-securities-suggests-buying-sun-pharma-shares-on-12-may-2025-11746946949693.html,https://www.livemint.com/lm-img/img/2025/05/11/90x90/Dharmesh_Shah_2022_03_1708927453301_1746948108904.jpg,https://www.livemint.com/lm-img/img/2025/05/11/90x90/Dharmesh_Shah_2022_03_1708927453301_1746948108904.jpg,https://www.livemint.com/lm-img/img/2025/05/11/90x90/Dharmesh_Shah_2022_03_1708927453301_1746948108904.jpg,https://www.livemint.com/lm-img/img/2025/05/11/600x338/Dharmesh_Shah_2022_03_1708927453301_1746948108904.jpg,Stocks to buy or sell: Dharmesh Shah of ICICI Securities suggests buying Sun Pharma shares on 12 May 2025.,https://www.livemint.com/lm-img/img/2025/05/11/600x338/Dharmesh_Shah_2022_03_1708927453301_1746948108904.jpg,https://www.livemint.com/lm-img/img/2025/05/11/600x338/Dharmesh_Shah_2022_03_1708927453301_1746948108904.jpg,[],[],[],
11746301816743,Stocks to buy or sell: Dharmesh Shah of ICICI Securities suggests buying Sun Pharma shares on 5 May 2025,Stocks to buy or sell: Dharmesh Shah of ICICI Securities recommends buying Sun Pharmaceutical Industries shares.,Dhanya Nagasundaram,"Mon, 05 May 2025 10:04 AM IST IST",4,false,Markets,,https://www.livemint.com/market/stock-market-news/stocks-to-buy-or-sell-dharmesh-shah-of-icici-securities-suggests-buying-sun-pharma-shares-on-5-may-2025-11746301816743.html,https://www.livemint.com/lm-img/img/2025/05/03/90x90/Dharmesh_Shah_2022_03_1708927453301_1746304860774.jpg,https://www.livemint.com/lm-img/img/2025/05/03/90x90/Dharmesh_Shah_2022_03_1708927453301_1746304860774.jpg,https://www.livemint.com/lm-img/img/2025/05/03/90x90/Dharmesh_Shah_2022_03_1708927453301_1746304860774.jpg,https://www.livemint.com/lm-img/img/2025/05/03/600x338/Dharmesh_Shah_2022_03_1708927453301_1746304860774.jpg,Stocks to buy or sell: Dharmesh Shah of ICICI Securities recommends buying Sun Pharmaceutical Industries shares.,https://www.livemint.com/lm-img/img/2025/05/03/600x338/Dharmesh_Shah_2022_03_1708927453301_1746304860774.jpg,https://www.livemint.com/lm-img/img/2025/05/03/600x338/Dharmesh_Shah_2022_03_1708927453301_1746304860774.jpg,[],[],[],
11745858223552,Shares to buy or sell: Chandan Taparia recommends three stocks to buy today - April 29,"Shares to buy or sell: Chandan Taparia has recommended three stocks to buy today ? Sun Pharmaceutical Industries, Hindustan Aeronautics Ltd (HAL) and Indian Bank shares.",Ankit Gohel,"Tue, 29 Apr 2025 08:25 AM IST IST",3,false,Markets,,https://www.livemint.com/market/stock-market-news/shares-to-buy-or-sell-chandan-taparia-recommends-three-stocks-to-buy-today-sun-pharma-indian-bank-hal-shares-april-29-11745858223552.html,https://www.livemint.com/lm-img/img/2025/04/28/90x90/Chandan_Taparia__1725590979638_1745858272767.png,https://www.livemint.com/lm-img/img/2025/04/28/90x90/Chandan_Taparia__1725590979638_1745858272767.png,https://www.livemint.com/lm-img/img/2025/04/28/90x90/Chandan_Taparia__1725590979638_1745858272767.png,https://www.livemint.com/lm-img/img/2025/04/28/600x338/Chandan_Taparia__1725590979638_1745858272767.png,Shares to buy or sell: Chandan Taparia recommends three stocks to buy today.,https://www.livemint.com/lm-img/img/2025/04/28/600x338/Chandan_Taparia__1725590979638_1745858272767.png,https://www.livemint.com/lm-img/img/2025/04/28/600x338/Chandan_Taparia__1725590979638_1745858272767.png,[],[],[],
11744599299204,F&amp;O Strategy: Bharti Hexacom to Asian Paints ? Rupak De suggests buy or sell strategy for THESE stocks on Tuesday,"F&amp;O Strategy: Technical views on F&amp;O market by Rupak De, Senior Technical Analyst, LKP Securities. De suggests Bharti Hexacom, Sun Pharmaceutical Industries, Asian Paints for tomorrow.",Dhanya Nagasundaram,"Mon, 14 Apr 2025 16:22 PM IST IST",3,false,Markets,,https://www.livemint.com/market/stock-market-news/fo-strategy-bharti-hexacom-to-asian-paints-rupak-de-suggests-buy-or-sell-strategy-for-these-stocks-on-tuesday-11744599299204.html,https://www.livemint.com/lm-img/img/2025/04/14/90x90/Rupak_De_1719208177388_1744626734995.JPG,https://www.livemint.com/lm-img/img/2025/04/14/90x90/Rupak_De_1719208177388_1744626734995.JPG,https://www.livemint.com/lm-img/img/2025/04/14/90x90/Rupak_De_1719208177388_1744626734995.JPG,https://www.livemint.com/lm-img/img/2025/04/14/600x338/Rupak_De_1719208177388_1744626734995.JPG,"F&O Strategy: Technical views on F&O market by Rupak De, Senior Technical Analyst, LKP Securities. De suggests Bharti Hexacom, Sun Pharmaceutical Industries, Asian Paints for tomorrow.",https://www.livemint.com/lm-img/img/2025/04/14/600x338/Rupak_De_1719208177388_1744626734995.JPG,https://www.livemint.com/lm-img/img/2025/04/14/600x338/Rupak_De_1719208177388_1744626734995.JPG,[],[],[],
