displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,536.75,,,2021,Annual
Cash Equivalents ,CashEquivalents,1505.24,,,2021,Annual
Short Term Investments ,ShortTermInvestments,342.18,,,2021,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,2384.17,,,2021,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,813.80,,,2021,Annual
Total Receivables Net ,TotalReceivablesNet,1295.07,,,2021,Annual
Total Inventory ,TotalInventory,2249.16,,,2021,Annual
Prepaid Expenses ,PrepaidExpenses,62.86,,,2021,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,1057.37,,,2021,Annual
Total Current Assets ,TotalCurrentAssets,7048.63,,,2021,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,3222.71,,,2021,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-1520.46,,,2021,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,1702.25,,,2021,Annual
Goodwill Net ,GoodwillNet,7596.57,,,2021,Annual
Intangibles Net ,IntangiblesNet,2874.49,,,2021,Annual
Long Term Investments ,LongTermInvestments,515.90,,,2021,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,245.37,,,2021,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,272.66,,,2021,Annual
Total Assets ,TotalAssets,20255.87,,,2021,Annual
Accounts Payable ,AccountsPayable,1625.47,,,2021,Annual
Accrued Expenses ,AccruedExpenses,0.03,,,2021,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,433.06,,,2021,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,523.85,,,2021,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,512.05,,,2021,Annual
Total Current Liabilities ,TotalCurrentLiabilities,3094.46,,,2021,Annual
Long Term Debt ,LongTermDebt,287.54,,,2021,Annual
Capital Lease Obligations ,CapitalLeaseObligations,389.10,,,2021,Annual
Total Long Term Debt ,TotalLongTermDebt,676.64,,,2021,Annual
Total Debt ,TotalDebt,1633.55,,,2021,Annual
Deferred Income Tax ,DeferredIncomeTax,570.16,,,2021,Annual
Minority Interest ,MinorityInterest,1092.53,,,2021,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,287.57,,,2021,Annual
Total Liabilities ,TotalLiabilities,5721.36,,,2021,Annual
Common Stock Total ,CommonStockTotal,92.16,,,2021,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,6430.87,,,2021,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),7594.76,,,2021,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),21.86,,,2021,Annual
Other Equity Total ,OtherEquityTotal,394.86,,,2021,Annual
Total Equity ,TotalEquity,14534.51,,,2021,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,20255.87,,,2021,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,93.30,,,2021,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,43.55,,,2021,Annual
period Length ,periodLength,0.00,,,2021,Annual
