displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,809.38,,,2020,Annual
Depreciation/ Depletion ,Depreciation/Depletion,241.71,,,2020,Annual
Non- Cash Items ,Non-CashItems,241.54,,,2020,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-210.40,,,2020,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,1082.23,,,2020,Annual
Capital Expenditures ,CapitalExpenditures,-159.58,,,2020,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-513.19,,,2020,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-672.77,,,2020,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-70.26,,,2020,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-221.62,,,2020,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-16.45,,,2020,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-308.33,,,2020,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,50.73,,,2020,Annual
Net Changein Cash ,NetChangeinCash,151.86,,,2020,Annual
Cash Interest Paid ,CashInterestPaid,70.26,,,2020,Annual
Cash Taxes Paid ,CashTaxesPaid,128.38,,,2020,Annual
period Length ,periodLength,12,,,2020,Annual
period Type ,periodType,Months,,,2020,Annual
