displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,3926.94,,,2024,Interim
Total Revenue ,TotalRevenue,3926.94,,,2024,Interim
Costof Revenue Total ,CostofRevenueTotal,2115.88,,,2024,Interim
Gross Profit ,GrossProfit,1811.06,,,2024,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,341.26,,,2024,Interim
Depreciation/ Amortization ,Depreciation/Amortization,115.76,,,2024,Interim
Unusual Expense( Income) ,UnusualExpense(Income),215.80,,,2024,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,840.20,,,2024,Interim
Total Operating Expense ,TotalOperatingExpense,3628.90,,,2024,Interim
Operating Income ,OperatingIncome,298.04,,,2024,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-42.83,,,2024,Interim
Other Net ,OtherNet,38.45,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,293.66,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,25.95,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,267.71,,,2024,Interim
Minority Interest ,MinorityInterest,4.37,,,2024,Interim
Equity In Affiliates ,EquityInAffiliates,-55.45,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,216.63,,,2024,Interim
Net Income ,NetIncome,216.63,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,216.63,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,216.63,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,216.63,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,96.12,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,2.25,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,7.65,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,4.30,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
